ENTRY	GENES	NAME
EC 1.17.4.2	[u'nrdD']	[u'NrdD']
EC 3.5.2.17	[u'hiuH']	[u'HiuH']
EC 4.2.1.51	[u'pheA']	[u'PheA']
EC 6.2.1.26	[u'menE']	[u'MenE']
EC 4.1.2.4	[u'deoC']	[u'DeoC']
EC 3.1.1.61	[u'cheB']	[u'CheB']
EC 3.6.3.30	[u'afuC']	[u'FbpC']
EC 2.7.1.130	[u'lpxK']	[u'LpxK']
EC 3.6.3.24	[u'nikD', u'nikE']	[u'NikE', u'NikD']
EC 2.7.7.75	[u'mog']	[u'Mog']
EC 3.4.16.4	[u'dacA', u'dacC', u'dacD', u'dacB']	[u'DacA', u'DacB', u'DacC', u'DacD']
EC 1.1.1.1	[u'frmA', u'adhE', u'adhP', u'yiaY']	Adh2
EC 1.1.1.1	[u'frmA', u'adhE', u'adhP', u'yiaY']	AdhP
EC 1.1.1.1	[u'frmA', u'adhE', u'adhP', u'yiaY']	AdhE
EC 1.1.1.1	[u'frmA', u'adhE', u'adhP', u'yiaY']	FrmA
EC 1.1.1.3	[u'thrA', u'metL']	Ak2H
EC 1.1.1.346	[u'dkgB', u'dkgA']	DkgB
EC 1.1.1.346	[u'dkgB', u'dkgA']	DkgA
EC 1.1.1.60	[u'glxR', u'garR']	GlxR
EC 1.11.1.15	[u'ahpC', u'tpx', u'bcp']	AhpC
EC 1.11.1.15	[u'ahpC', u'tpx', u'bcp']	Tpx
EC 1.11.1.15	[u'ahpC', u'tpx', u'bcp']	Bcp
EC 1.12.99.6	[u'hyaA', u'hyaB', u'hybC', u'hybO']	MbhM
EC 1.14.12.19	[u'hcaE', u'hcaF']	HcaE
EC 1.14.12.19	[u'hcaE', u'hcaF']	HcaF
EC 1.14.13.149	[u'paaA', u'paaC']	PaaC
EC 1.14.13.149	[u'paaA', u'paaC']	PaaA
EC 1.15.1.1	[u'sodC', u'sodB', u'sodA']	SodF
EC 1.15.1.1	[u'sodC', u'sodB', u'sodA']	SodC
EC 1.15.1.1	[u'sodC', u'sodB', u'sodA']	SodM
EC 1.17.1.4	[u'paoC', u'paoB', u'xdhA', u'xdhB']	XdhA
EC 1.17.4.1	[u'nrdA', u'nrdB', u'nrdE', u'nrdF']	Rir1
EC 1.17.4.1	[u'nrdA', u'nrdB', u'nrdE', u'nrdF']	Rir2
EC 1.17.4.1	[u'nrdA', u'nrdB', u'nrdE', u'nrdF']	Rir3
EC 1.17.4.1	[u'nrdA', u'nrdB', u'nrdE', u'nrdF']	Rir4
EC 1.2.1.10	[u'mhpF', u'adhE']	AdhE
