Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoE	ibaG[ibaGp2]	+	"[HIPP, ICWHO]"
RpoE	insEF-2F-2[insFp4]	+	[ICWHO]
RpoE	insEF-4F-4[insFp4]	+	[ICWHO]
RpoE	insH-3[insHp3]	+	[ICWHO]
RpoE	insJ[insJp4]	+	[ICWHO]
RpoE	insK[insKp]	+	[HIPP]
RpoE	intD[intDp6]	+	[ICWHO]
RpoE	intR[intRp4]	+	[ICWHO]
RpoE	intZ[intZp3]	+	[ICWHO]
RpoE	iscA[iscAp6]	+	[ICWHO]
RpoE	iscA[iscAp7]	+	[ICWHO]
RpoE	ispG-sroE[ispGp1]	+	[ICWHO]
RpoE	ispG-sroE[ispGp4]	+	[ICWHO]
RpoE	ispG-sroE[ispGp5]	+	[ICWHO]
RpoE	kdgR[kdgRp1]	+	[ICWHO]
RpoE	kdgR[kdgRp8]	+	[ICWHO]
RpoE	ldcA[ldcAp9]	+	[ICWHO]
RpoE	lepB[lepBp1]	+	[ICWHO]
RpoE	leuD[leuDp4]	+	[ICWHO]
RpoE	lhr[lhrp]	+	"[AIPP, TIM]"
RpoE	lipB[lipBp2]	+	[ICWHO]
RpoE	lit[litp1]	+	[ICWHO]
RpoE	lnt[lntp4]	+	[ICWHO]
RpoE	lpcA[lpcAp1]	+	[ICWHO]
RpoE	lptAB[lptAp1]	+	"[HIPP, IDA, IMP, TIM]"
RpoE	lptB-rpoN-hpf-ptsN-rapZ[lptBp]	+	"[AIPP, TIM]"
RpoE	lptD-surA-pdxA[impp3]	+	"[HIPP, TIM]"
RpoE	lpxD[lpxDp]	+	"[HIPP, TIM]"
RpoE	lpxP[lpxPp]	+	"[AIPP, HIPP, TIM]"
RpoE	malQ[malQp]	+	"[AIPP, TIM]"
RpoE	mazG[mazGp4]	+	[ICWHO]
RpoE	mcrA[mcrAp7]	+	[ICWHO]
RpoE	mcrA[mcrAp10]	+	[ICWHO]
RpoE	mdaB[mdaBp1]	+	[ICWHO]
RpoE	mdtK[mdtKp10]	+	[ICWHO]
RpoE	mdtP[mdtPp6]	+	[ICWHO]
RpoE	mepM[yebAp1]	+	[ICWHO]
RpoE	mepM[yebAp5]	+	[ICWHO]
RpoE	mepM[yebAp6]	+	[ICWHO]
RpoE	mglC[mglCp6]	+	[ICWHO]
RpoE	mglC[mglCp9]	+	[ICWHO]
RpoE	micA[micAp]	+	"[HIPP, TIM]"
RpoE	minE[minEp3]	+	[ICWHO]
RpoE	mmuPM[mmuPp1]	+	[ICWHO]
RpoE	mmuPM[mmuPp2]	+	[ICWHO]
RpoE	mppA[mppAp5]	+	[ICWHO]
RpoE	mqo[mqop1]	+	[ICWHO]
RpoE	mrp[mrpp2]	+	[ICWHO]
RpoE	mrp[mrpp7]	+	[ICWHO]
RpoE	mtfA[mtfAp1]	+	[ICWHO]
RpoE	mutH[mutHp5]	+	[ICWHO]
RpoE	nanS[nanSp1]	+	[ICWHO]
RpoE	narWV[narWp]	+	"[AIPP, TIM]"
RpoE	nhoA[nhoAp2]	+	[ICWHO]
RpoE	nlpC[nlpCp3]	+	[ICWHO]
RpoE	nudE[nudEp1]	+	[ICWHO]
RpoE	nudG[nudGp3]	+	[ICWHO]
RpoE	opgD[opgDp4]	+	[ICWHO]
RpoE	oxc[oxcp10]	+	[ICWHO]
RpoE	oxc[oxcp11]	+	[ICWHO]
RpoE	pabC-yceG-tmk-holB-ycfH[pabCp1]	+	[ICWHO]
RpoE	pabC-yceG-tmk-holB-ycfH[pabCp5]	+	[ICWHO]
RpoE	panC[panCp2]	+	[ICWHO]
RpoE	panZ[panZp1]	+	[ICWHO]
RpoE	patD[patDp3]	+	[ICWHO]
RpoE	patD[patDp4]	+	[ICWHO]
RpoE	pgpB[pgpBp5]	+	[ICWHO]
RpoE	phoQ[phoQp5]	+	[ICWHO]
RpoE	pinQ[pinQp1]	+	[ICWHO]
RpoE	pinR[pinRp1]	+	[ICWHO]
RpoE	plaP[yeeFp2]	+	[ICWHO]
RpoE	plsB[plsBp]	+	"[AIPP, IEP, TIM]"
RpoE	potE[potEp1]	+	[ICWHO]
RpoE	pppA[pppAp3]	+	[ICWHO]
RpoE	ppsR[ppsRp1]	+	[ICWHO]
RpoE	pptA[pptAp7]	+	[ICWHO]
RpoE	psd-mscM[psdp]	+	"[AIPP, TIM]"
RpoE	psuG[psuGp4]	+	[ICWHO]
RpoE	psuT[psuTp2]	+	[ICWHO]
RpoE	racC[racCp4]	+	[ICWHO]
RpoE	racC[racCp6]	+	[ICWHO]
RpoE	rclABC[ykgCp1]	+	[ICWHO]
RpoE	rclC[ykgBp3]	+	[ICWHO]
RpoE	rcnB[rcnBp]	+	[ICWHO]
RpoE	rcsC[rcsCp4]	+	[ICWHO]
RpoE	recQ[recQp1]	+	[ICWHO]
RpoE	rem[remp1]	+	[ICWHO]
RpoE	rfaD-waaFCL[rfaDp4]	+	"[HIPP, TIM]"
RpoE	rhsB[rhsBp3]	+	[ICWHO]
RpoE	rhsB[rhsBp9]	+	[ICWHO]
RpoE	rhsB[rhsBp12]	+	[ICWHO]
RpoE	rihA[rihAp3]	+	[ICWHO]
RpoE	rlmF[rlmFp1]	+	[ICWHO]
RpoE	rlmG[rlmGp4]	+	[ICWHO]
RpoE	rluA[rluAp1]	+	[ICWHO]
RpoE	rluF[rluFp1]	+	[ICWHO]
RpoE	rnlB[rnlBp]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoE	rplS[rplSp1]	+	[ICWHO]
RpoE	rpoD[rpoDp4]	+	"[AIPP, TIM]"
RpoE	rpoH[rpoHp3]	+	"[AIPP, HIPP, RS-EPT-CBR, TIM]"
RpoE	rseABC[rseAp3]	+	"[AIPP, TIM]"
RpoE	rseP[rsePp]	+	"[HIPP, TIM]"
RpoE	rsmD-yhhL[rsmDp1]	+	[ICWHO]
RpoE	rsmE-gshB[rsmEp1]	+	[ICWHO]
RpoE	rtcA[rtcAp1]	+	[ICWHO]
RpoE	rtcA[rtcAp2]	+	[ICWHO]
RpoE	rutG[rutGp2]	+	[ICWHO]
RpoE	rutR[rutRp]	+	"[AIPP, TIM]"
RpoE	rybB[rybBp]	+	"[HIPP, IDA, RS-EPT-CBR, TIM]"
RpoE	sad[sadp5]	+	[ICWHO]
RpoE	sapF[sapFp5]	+	[ICWHO]
RpoE	sbcC[sbcCp2]	+	[ICWHO]
RpoE	sbmA-yaiW[sbmAp]	+	"[AIPP, HIPP, TIM]"
RpoE	setC[setCp14]	+	[ICWHO]
RpoE	smrA[smrAp1]	+	[ICWHO]
RpoE	surA-pdxA-rsmA-apaGH[surAp]	+	"[NTAS, TASES]"
RpoE	tamAB-ytfP[tamAp1]	+	[ICWHO]
RpoE	tdcR[tdcRp8]	+	[ICWHO]
RpoE	tdk[tdkp1]	+	[ICWHO]
RpoE	tfaE[tfaEp1]	+	[ICWHO]
RpoE	tfaE[tfaEp6]	+	[ICWHO]
RpoE	thiD[thiDp3]	+	[ICWHO]
RpoE	thyA[thyAp2]	+	[ICWHO]
RpoE	torT[torTp1]	+	[ICWHO]
RpoE	torT[torTp2]	+	[ICWHO]
RpoE	uacT[ygfUp6]	+	[ICWHO]
RpoE	ugpQ[ugpQp1]	+	[ICWHO]
RpoE	ulaR[ulaRp5]	+	[ICWHO]
RpoE	waaU[waaUp9]	+	[ICWHO]
RpoE	wbbK[wbbKp4]	+	[ICWHO]
RpoE	wcaM[wcaMp1]	+	[ICWHO]
RpoE	wza-wzb-wzc[wzap2]	+	"[AIPP, TIM]"
RpoE	wzzB[cldp9]	+	[ICWHO]
RpoE	xanP[xanPp5]	+	[ICWHO]
RpoE	xylE[xylEp1]	+	[ICWHO]
RpoE	xylE[xylEp8]	+	[ICWHO]
RpoE	yaaA[yaaAp3]	+	[ICWHO]
RpoE	yacH[yacHp3]	+	[ICWHO]
RpoE	yadE[yadEp3]	+	[ICWHO]
RpoE	yadN[yadNp1]	+	[ICWHO]
RpoE	yadS[yadSp7]	+	[ICWHO]
RpoE	yaeF[yaeFp1]	+	[ICWHO]
RpoE	yaeQ-arfB-nlpE[yaeQp3]	+	[ICWHO]
RpoE	yahM[yahMp5]	+	[ICWHO]
RpoE	yaiI[yaiIp7]	+	[ICWHO]
RpoE	yaiO[yaiOp6]	+	[ICWHO]
RpoE	yaiP[yaiPp5]	+	[ICWHO]
RpoE	yaiS[yaiSp13]	+	[ICWHO]
RpoE	yajI[yajIp6]	+	[ICWHO]
RpoE	ybaB-recR[ybaBp]	+	"[AIPP, TIM]"
RpoE	ybaN[ybaNp1]	+	[ICWHO]
RpoE	ybaP[ybaPp6]	+	[ICWHO]
RpoE	ybcH[ybcHp4]	+	[ICWHO]
RpoE	ybcW[ybcWp4]	+	[ICWHO]
RpoE	ybdD[ybdDp2]	+	[ICWHO]
RpoE	ybdF[ybdFp5]	+	[ICWHO]
RpoE	ybdH[ybdHp6]	+	[ICWHO]
RpoE	ybdK[ybdKp3]	+	[ICWHO]
RpoE	ybdM[ybdMp2]	+	[ICWHO]
RpoE	ybeQ[ybeQp1]	+	[ICWHO]
RpoE	ybeR-djlB[ybeRp7]	+	[ICWHO]
RpoE	ybfA[ybfAp7]	+	[ICWHO]
RpoE	ybfF[ybfFp1]	+	[ICWHO]
RpoE	ybfHG[ybfHp]	+	"[AIPP, TIM]"
RpoE	ybgD[ybgDp9]	+	[ICWHO]
RpoE	ybgO[ybgOp4]	+	[ICWHO]
RpoE	ybgS[ybgSp1]	+	[ICWHO]
RpoE	ybgS[ybgSp2]	+	[ICWHO]
RpoE	ybhH[ybhHp8]	+	[ICWHO]
RpoE	ybiU[ybiUp5]	+	[ICWHO]
RpoE	ybjE[ybjEp3]	+	[ICWHO]
RpoE	ybjO-rlmC[ybjOp4]	+	[ICWHO]
RpoE	ycaD[ycaDp1]	+	[ICWHO]
RpoE	ycaL[ycaLp1]	+	[ICWHO]
RpoE	ycaL[ycaLp8]	+	[ICWHO]
RpoE	yccX[yccXp7]	+	[ICWHO]
RpoE	ycdU[ycdUp1]	+	[ICWHO]
RpoE	ycdU[ycdUp9]	+	[ICWHO]
RpoE	yceF[yceFp9]	+	[ICWHO]
RpoE	yceH[yceHp2]	+	[ICWHO]
RpoE	yceM[yceMp4]	+	[ICWHO]
RpoE	yceO[yceOp1]	+	[ICWHO]
RpoE	yceO[yceOp7]	+	[ICWHO]
RpoE	ycfT[ycfTp9]	+	[ICWHO]
RpoE	ycfT[ycfTp11]	+	[ICWHO]
RpoE	ycgY[ycgYp1]	+	[ICWHO]
RpoE	ycgY[ycgYp6]	+	[ICWHO]
RpoE	ychN[ychNp4]	+	[ICWHO]
RpoE	yciB[yciBp3]	+	[ICWHO]
RpoE	yciE[yciEp6]	+	[ICWHO]
RpoE	yciN[yciNp9]	+	[ICWHO]
RpoE	yciT[yciTp1]	+	[ICWHO]
RpoE	yciU[yciUp5]	+	[ICWHO]
RpoE	yciW[yciWp4]	+	[ICWHO]
RpoE	ycjD[ycjDp4]	+	[ICWHO]
RpoE	ycjMNOPQRSTUV-ymjB[ycjMp4]	+	[ICWHO]
RpoE	ydbJ[ydbJp1]	+	[ICWHO]
RpoE	ydcA[ydcAp6]	+	[ICWHO]
RpoE	ydcA[ydcAp7]	+	[ICWHO]
RpoE	ydcK[ydcKp8]	+	[ICWHO]
RpoE	ydcL[ydcLp7]	+	[ICWHO]
RpoE	ydcX[ydcXp1]	+	[ICWHO]
RpoE	ydcZ[ydcZp1]	+	[ICWHO]
RpoE	yddB[yddBp6]	+	[ICWHO]
RpoE	yddJ[yddJp1]	+	[ICWHO]
RpoE	yddJ[yddJp8]	+	[ICWHO]
RpoE	yddJ[yddJp9]	+	[ICWHO]
RpoE	ydeI[ydeIp1]	+	[ICWHO]
RpoE	ydeR[ydeRp1]	+	[ICWHO]
RpoE	ydfK[ydfKp5]	+	[ICWHO]
RpoE	ydhB[ydhBp2]	+	[ICWHO]
RpoE	ydhC[ydhCp1]	+	[ICWHO]
RpoE	ydhF[ydhFp1]	+	[ICWHO]
RpoE	ydhIJK[ydhIp]	+	"[AIPP, TIM]"
RpoE	ydhS[ydhSp3]	+	[ICWHO]
RpoE	ydhS[ydhSp5]	+	[ICWHO]
RpoE	ydhS[ydhSp6]	+	[ICWHO]
RpoE	ydhT[ydhTp1]	+	[ICWHO]
RpoE	ydhZ[ydhZp6]	+	[ICWHO]
RpoE	ydiM[ydiMp1]	+	[ICWHO]
RpoE	ydiM[ydiMp5]	+	[ICWHO]
RpoE	ydiV[ydiVp]	+	[AIPP]
RpoE	ydiY[ydiYp6]	+	[ICWHO]
RpoE	ydjE[ydjEp5]	+	[ICWHO]
RpoE	ydjF[ydjFp1]	+	[ICWHO]
RpoE	ydjXYZ-ynjABCD[ydjXp1]	+	[ICWHO]
RpoE	yeaI[yeaIp6]	+	[ICWHO]
RpoE	yeaM[yeaMp1]	+	[ICWHO]
RpoE	yeaN[yeaNp4]	+	[ICWHO]
RpoE	yeaO[yeaOp4]	+	[ICWHO]
RpoE	yeaQ[yeaQp1]	+	[ICWHO]
RpoE	yeaY[yeaYp]	+	"[AIPP, HIPP, TIM]"
RpoE	yebV[yebVp1]	+	[ICWHO]
RpoE	yebV[yebVp5]	+	[ICWHO]
RpoE	yebW[yebWp3]	+	[ICWHO]
RpoE	yecDE[yecDp4]	+	[ICWHO]
RpoE	yedJ[yedJp3]	+	[ICWHO]
RpoE	yeeA[yeeAp6]	+	[ICWHO]
RpoE	yeeO[yeeOp1]	+	[ICWHO]
RpoE	yeeO[yeeOp6]	+	[ICWHO]
RpoE	yeeZ[yeeZp7]	+	[ICWHO]
RpoE	yegX[yegXp1]	+	[ICWHO]
RpoE	yegX[yegXp6]	+	[ICWHO]
RpoE	yehE[yehEp1]	+	[ICWHO]
RpoE	yehE[yehEp8]	+	[ICWHO]
RpoE	yeiI[yeiIp2]	+	[ICWHO]
RpoE	yeiW[yeiWp7]	+	[ICWHO]
RpoE	yejG[yejGp5]	+	[ICWHO]
RpoE	yejG[yejGp8]	+	[ICWHO]
RpoE	yejK[yejKp5]	+	[ICWHO]
RpoE	yfaL[yfaLp1]	+	[ICWHO]
RpoE	yfaL[yfaLp3]	+	[ICWHO]
RpoE	yfaP[yfaPp4]	+	[ICWHO]
RpoE	yfbK[yfbKp7]	+	[ICWHO]
RpoE	yfbL[yfbLp7]	+	[ICWHO]
RpoE	yfbN[yfbNp1]	+	[ICWHO]
RpoE	yfbO[yfbOp1]	+	[ICWHO]
RpoE	yfbP[yfbPp7]	+	[ICWHO]
RpoE	yfcI[yfcIp7]	+	[ICWHO]
RpoE	yfcI[yfcIp8]	+	[ICWHO]
RpoE	yfcV[yfcVp8]	+	[ICWHO]
RpoE	yfdGHI[yfdGp4]	+	[ICWHO]
RpoE	yfeCD[yfeCp4]	+	[ICWHO]
RpoE	yfeH[yfeHp5]	+	[ICWHO]
RpoE	yfeKS[yfeKp]	+	"[AIPP, TIM]"
RpoE	yfeR[yfeRp1]	+	[ICWHO]
RpoE	yfeYX[yfeYp]	+	"[AIPP, TIM]"
RpoE	yffOP[yffOp1]	+	[ICWHO]
RpoE	yffQR[yffQp1]	+	[ICWHO]
RpoE	yffQR[yffQp3]	+	[ICWHO]
RpoE	yfgG[yfgGp7]	+	[ICWHO]
RpoE	yfhR[yfhRp2]	+	[ICWHO]
RpoE	yfjI[yfjIp8]	+	[ICWHO]
RpoE	ygbN[ygbNp2]	+	[ICWHO]
RpoE	ygcG[ygcGp7]	+	[ICWHO]
RpoE	ygcNOP[ygcNp3]	+	[ICWHO]
RpoE	ygcU[ygcUp5]	+	[ICWHO]
RpoE	ygcW[ygcWp11]	+	[ICWHO]
RpoE	ygcW[ygcWp12]	+	[ICWHO]
RpoE	ygeA[ygeAp5]	+	[ICWHO]
RpoE	ygeR[ygeRp1]	+	[ICWHO]
RpoE	ygeW[ygeWp1]	+	[ICWHO]
RpoE	ygfS[ygfSp5]	+	[ICWHO]
RpoE	yggC[yggCp1]	+	[ICWHO]
RpoE	yggI[yggIp6]	+	[ICWHO]
RpoE	yggN[yggNp1]	+	"[HIPP, TIM]"
RpoE	yggN[yggNp2]	+	"[HIPP, TIM]"
RpoE	yghD[yghDp3]	+	[ICWHO]
RpoE	yghF[yghFp]	+	"[HIPP, TIM]"
RpoE	yghQ[yghQp1]	+	[ICWHO]
RpoE	yghT[yghTp14]	+	[ICWHO]
RpoE	yghZ[gprp1]	+	[ICWHO]
RpoE	ygiD[ygiDp2]	+	[ICWHO]
RpoE	ygiD[ygiDp3]	+	[ICWHO]
RpoE	ygiH[plsYp5]	+	[ICWHO]
RpoE	ygiM[ygiMp]	+	"[HIPP, TIM]"
RpoE	ygiM-cca[ygiMp2]	+	"[AIPP, TIM]"
RpoE	ygiQ[ygiQp1]	+	[ICWHO]
RpoE	ygjI[ygjIp1]	+	[ICWHO]
RpoE	ygjI[ygjIp2]	+	[ICWHO]
RpoE	ygjQ[ygjQp4]	+	[ICWHO]
RpoE	yhaH[yhaHp7]	+	[ICWHO]
RpoE	yhaI[yhaIp9]	+	[ICWHO]
RpoE	yhaI[yhaIp12]	+	[ICWHO]
RpoE	yhaKL[yhaKp4]	+	[ICWHO]
RpoE	yhaKL[yhaKp5]	+	[ICWHO]
RpoE	yhbUV[yhbUp1]	+	[ICWHO]
RpoE	yhbUV[yhbUp7]	+	[ICWHO]
RpoE	yhcAD-ychE_1[yhcAp1]	+	[ICWHO]
RpoE	yhcF[yhcFp1]	+	[ICWHO]
RpoE	yhcM[yhcMp1]	+	[ICWHO]
RpoE	yhcO[yhcOp1]	+	[ICWHO]
RpoE	yhdH[yhdHp1]	+	[ICWHO]
RpoE	yhdU[yhdUp1]	+	[ICWHO]
RpoE	yhfY[yhfYp1]	+	[ICWHO]
RpoE	yhfY[yhfYp3]	+	[ICWHO]
RpoE	yhgF[yhgFp2]	+	[ICWHO]
RpoE	yhiM[yhiMp11]	+	[ICWHO]
RpoE	yhjJ[yhjJp]	+	"[AIPP, TIM]"
RpoE	yhjR[yhjRp5]	+	[ICWHO]
RpoE	yhjR[yhjRp10]	+	[ICWHO]
RpoE	yhjR[yhjRp12]	+	[ICWHO]
RpoE	yhjR[yhjRp13]	+	[ICWHO]
RpoE	yhjX[yhjXp6]	+	[ICWHO]
RpoE	yiaB[yiaBp1]	+	[ICWHO]
RpoE	yiaKLMNO-lyxK-sgbHUE[yiaKp2]	+	"[AIPP, TIM]"
RpoE	yibG[yibGp6]	+	[ICWHO]
RpoE	yicJI[yicJp]	+	"[AIPP, TIM]"
RpoE	yicN[yicNp4]	+	[ICWHO]
RpoE	yidQ[yidQp]	+	"[HIPP, TIM]"
RpoE	yieEF[yieEp]	+	"[AIPP, TIM]"
RpoE	yieH[yieHp4]	+	[ICWHO]
RpoE	yieK[yieKp2]	+	[ICWHO]
RpoE	yihF[yihFp1]	+	[ICWHO]
RpoE	yihF[yihFp4]	+	[ICWHO]
RpoE	yihLM[yihLp2]	+	[ICWHO]
RpoE	yihN[yihNp5]	+	[ICWHO]
RpoE	yihQ[yihQp1]	+	[ICWHO]
RpoE	yiiS-uspD[yiiSp]	+	"[AIPP, TIM]"
RpoE	yijE[yijEp5]	+	[ICWHO]
RpoE	yjcE[yjcEp7]	+	[ICWHO]
RpoE	yjcE[yjcEp8]	+	[ICWHO]
RpoE	yjfP[yjfPp5]	+	[ICWHO]
RpoE	yjgZ[yjgZp1]	+	[ICWHO]
RpoE	yjhBC[yjhBp7]	+	[ICWHO]
RpoE	yjhG[yjhGp4]	+	[ICWHO]
RpoE	yjiA[yjiAp7]	+	[ICWHO]
RpoE	yjiJ[yjiJp4]	+	[ICWHO]
RpoE	yjiK[yjiKp7]	+	[ICWHO]
RpoE	yjiK[yjiKp9]	+	[ICWHO]
RpoE	yjiY[yjiYp3]	+	[ICWHO]
RpoE	yjjA[yjjAp1]	+	[ICWHO]
RpoE	yjjL[yjjLp6]	+	[ICWHO]
RpoE	yjjL[yjjLp7]	+	[ICWHO]
