Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoE	yohD[yohDp2]	+	[ICWHO]
RpoE	ypdI[ypdIp1]	+	[ICWHO]
RpoE	ypfM[ypfMp2]	+	[ICWHO]
RpoE	ypjA[ypjAp8]	+	[ICWHO]
RpoE	yqeF[yqeFp1]	+	[ICWHO]
RpoE	yqeF[yqeFp8]	+	[ICWHO]
RpoE	yqeF[yqeFp11]	+	[ICWHO]
RpoE	yqeG[yqeGp1]	+	[ICWHO]
RpoE	yqeIJ[yqeIp1]	+	[ICWHO]
RpoE	yqeK[yqeKp12]	+	[ICWHO]
RpoE	yqfA[yqfAp10]	+	[ICWHO]
RpoE	yqgA[yqgAp1]	+	[ICWHO]
RpoE	yqgA[yqgAp4]	+	[ICWHO]
RpoE	yqgB[yqgBp1]	+	[ICWHO]
RpoE	yqhC[yqhCp1]	+	[ICWHO]
RpoE	yqiC[yqiCp1]	+	[ICWHO]
RpoE	yqjA-mzrA[yqjAp2]	+	"[HIPP, TIM]"
RpoE	yraH[yraHp4]	+	[ICWHO]
RpoE	yraP[yraPp]	+	"[HIPP, TIM]"
RpoE	yraP[yraPp2]	+	"[AIPP, TIM]"
RpoE	yraR[yraRp1]	+	[ICWHO]
RpoE	yrfF[yrfFp6]	+	[ICWHO]
RpoE	yrhB[yrhBp9]	+	[ICWHO]
RpoE	ysaB[ysaBp1]	+	[ICWHO]
RpoE	ytfH[ytfHp6]	+	[ICWHO]
RpoE	ytfJ[ytfJp]	+	"[HIPP, TIM]"
RpoE	ytfQRT-yjfF[ytfQp6]	+	[ICWHO]
RpoD	opgGH[mdoGp2]	+	"[HIPP, IDA, TIM]"
RpoD	rpoE-rseABC[rpoEp2]	+	"[HIPP, TIM]"
RpoD	sixA[sixAp]	+	"[AIPP, IDA, TIM]"
RpoD	yfjPQ[yfjPp5]	+	[ICWHO]
RpoD	yraH[yraHp6]	+	[ICWHO]
RpoE	opgGH[mdoGp2]	+	"[HIPP, IDA, TIM]"
RpoE	rpoE-rseABC[rpoEp2]	+	"[HIPP, TIM]"
RpoE	sixA[sixAp]	+	"[AIPP, IDA, TIM]"
RpoE	yfjPQ[yfjPp5]	+	[ICWHO]
RpoE	yraH[yraHp6]	+	[ICWHO]
FliA	adhP[adhPp5]	+	[ICWHO]
FliA	aer[aerp]	+	"[HIPP, TIM]"
FliA	alx[alxp3]	+	[ICWHO]
FliA	ampG[ampGp6]	+	[ICWHO]
FliA	aspT[aspTp1]	+	[ICWHO]
FliA	caiE[caiEp3]	+	[ICWHO]
FliA	caiE[caiEp7]	+	[ICWHO]
FliA	chbG[chbGp5]	+	[ICWHO]
FliA	clpS[clpSp7]	+	[ICWHO]
FliA	cobC[cobCp6]	+	[ICWHO]
FliA	crfC-yjcZ[yjdAp2]	+	[HIPP]
FliA	crfC-yjcZ[yjdAp1]	+	[HIPP]
FliA	dcrB[dcrBp8]	+	[ICWHO]
FliA	dmlA[dmlAp4]	+	[ICWHO]
FliA	dxr[dxrp4]	+	[ICWHO]
FliA	eco[ecop7]	+	[ICWHO]
FliA	flgKL[flgKp]	+	[HIPP]
FliA	flgMN[flgMp]	+	[HIPP]
FliA	flhC[flhCp3]	+	[ICWHO]
FliA	fliAZY[fliAp2]	+	"[HIPP, TIM]"
FliA	fliC[fliCp]	+	"[FP, HIPP]"
FliA	fliDST[fliDp1]	+	"[FP, HIPP]"
FliA	fliE[fliEp]	+	[HIPP]
FliA	fliFGHIJK[fliFp]	+	[HIPP]
FliA	fliLMNOPQR[fliLp2]	+	"[HIPP, TIM]"
FliA	flxA[flxAp]	+	"[AIPP, HIPP]"
FliA	frvR[frvRp4]	+	[ICWHO]
FliA	fryA[fryAp6]	+	[ICWHO]
FliA	galM[galMp4]	+	[ICWHO]
FliA	ghrB[ghrBp2]	+	[ICWHO]
FliA	glcA[glcAp12]	+	[ICWHO]
FliA	glmS[glmSp2]	+	[ICWHO]
FliA	greB[greBp8]	+	[ICWHO]
FliA	hdfR[hdfRp6]	+	[ICWHO]
FliA	hemL[hemLp]	+	[TIM]
FliA	hemL[hemLp1]	+	"[HIPP, IEP]"
FliA	hemL[hemLp2]	+	[HIPP]
FliA	hslO[hslOp3]	+	[ICWHO]
FliA	hsrA[hsrAp6]	+	[ICWHO]
FliA	insH-4[insHp7]	+	[ICWHO]
FliA	insH-6[insHp4]	+	[ICWHO]
FliA	insL-1[insLp6]	+	[ICWHO]
FliA	insL-2[insLp5]	+	[ICWHO]
FliA	insL-3[insLp5]	+	[ICWHO]
FliA	ispF[ispFp2]	+	[ICWHO]
FliA	kgtP[kgtPp7]	+	[ICWHO]
FliA	lolB-ispE-prs[lolBp]	+	[HIPP]
FliA	lolCDE[lolCp6]	+	[ICWHO]
FliA	modABC[modAp1]	+	"[AIPP, HIPP]"
FliA	motAB-cheAW[motAp]	+	[HIPP]
FliA	nlpI[nlpIp2]	+	[ICWHO]
FliA	nudE[nudEp9]	+	[ICWHO]
FliA	nudJ[nudJp6]	+	[ICWHO]
FliA	oppABCDF[oppAp]	+	"[AIPP, NTAS]"
FliA	pbpC[pbpCp1]	+	[ICWHO]
FliA	pflDC[pflDp4]	+	[ICWHO]
FliA	pgpB[pgpBp8]	+	[ICWHO]
FliA	ppdAB-ygdB-ppdC-recC[ppdAp]	+	[HIPP]
FliA	ppk-ppx[ppkp5]	+	[ICWHO]
FliA	prc[prcp1]	+	[ICWHO]
FliA	purD[purDp1]	+	[ICWHO]
FliA	rclA[ykgCp8]	+	[ICWHO]
FliA	rcsC[rcsCp5]	+	[ICWHO]
FliA	rhtC[rhtCp2]	+	[ICWHO]
FliA	rluF[rluFp6]	+	[ICWHO]
FliA	rnk[rnkp7]	+	[ICWHO]
FliA	rsmD-yhhL[rsmDp11]	+	[ICWHO]
FliA	rsmI[rsmIp6]	+	[ICWHO]
FliA	rtcA[rtcAp6]	+	[ICWHO]
FliA	slyD[slyDp5]	+	[ICWHO]
FliA	tabA[tabAp5]	+	[ICWHO]
FliA	tar-tap-cheRBYZ[tarp]	+	"[HIPP, TIM]"
FliA	thrV-rrfF[rrfFp2]	+	[ICWHO]
FliA	tldD[tldDp7]	+	[ICWHO]
FliA	torT[torTp7]	+	[ICWHO]
FliA	trg[trgp1]	+	"[HTTIM, HIPP]"
FliA	trpA[trpAp8]	+	[ICWHO]
FliA	trpT[trpTp2]	+	[ICWHO]
FliA	tsr[tsrp]	+	"[HIPP, TIM]"
FliA	ubiEJB[ubiEp4]	+	[ICWHO]
FliA	ves[vesp]	+	[TIM]
FliA	wzzB[cldp10]	+	[ICWHO]
FliA	yagGH[yagGp9]	+	[ICWHO]
FliA	yaiI[yaiIp3]	+	[ICWHO]
FliA	ybaM[ybaMp3]	+	[ICWHO]
FliA	ybaN[ybaNp9]	+	[ICWHO]
FliA	ybaY[ybaYp3]	+	[ICWHO]
FliA	ybbJ[ybbJp1]	+	[ICWHO]
FliA	ybdJ[ybdJp5]	+	[ICWHO]
FliA	ybfA[ybfAp8]	+	"[ICWHO, RS-EPT-CBR]"
FliA	ybhN[ybhNp5]	+	[ICWHO]
FliA	ybiW[ybiWp4]	+	[ICWHO]
FliA	ybiX[ybiXp2]	+	[ICWHO]
FliA	ycaI-msbA-lpxK-ycaQ[ycaIp8]	+	[ICWHO]
FliA	yceI[yceIp5]	+	[ICWHO]
FliA	ycfD[ycfDp5]	+	[ICWHO]
FliA	ycgR[ycgRp]	+	"[AIPP, HIPP]"
FliA	ydcF[ydcFp4]	+	[ICWHO]
FliA	yecF[yecFp]	+	[HIPP]
FliA	yecH[yecHp5]	+	[ICWHO]
FliA	yecJ[yecJp4]	+	[ICWHO]
FliA	yedV[yedVp6]	+	[ICWHO]
FliA	yeiR-lpxT[yeiRp3]	+	[ICWHO]
FliA	yfaD-ypaA[yfaDp5]	+	[ICWHO]
FliA	yfdPQ[yfdPp9]	+	[ICWHO]
FliA	yfeX[yfeXp5]	+	[ICWHO]
FliA	yfeZ[yfeZp3]	+	[ICWHO]
FliA	yfiRN[yfiRp8]	+	[ICWHO]
FliA	ygbK[ygbKp]	+	[HIPP]
FliA	ygdG[ygdGp2]	+	[ICWHO]
FliA	ygdR[ygdRp5]	+	[ICWHO]
FliA	yggL[yggLp3]	+	[ICWHO]
FliA	ygjQ[ygjQp6]	+	[ICWHO]
FliA	yhcF[yhcFp5]	+	[ICWHO]
FliA	yhcM[yhcMp4]	+	[ICWHO]
FliA	yhiL[yhiLp]	+	[HIPP]
FliA	yhiM[yhiMp10]	+	[ICWHO]
FliA	yhjH[yhjHp]	+	"[AIPP, HIPP]"
FliA	yifB[yifBp9]	+	[ICWHO]
FliA	yihO[yihOp3]	+	[ICWHO]
FliA	yjaA[yjaAp4]	+	[ICWHO]
FliA	yjaH[yjaHp1]	+	[ICWHO]
FliA	yjcO[yjcOp3]	+	[ICWHO]
FliA	yjcS[yjcSp]	+	[HIPP]
FliA	yjdL[yjdLp4]	+	[ICWHO]
FliA	yjgA[yjgAp5]	+	[ICWHO]
FliA	yjgA[yjgAp9]	+	[ICWHO]
FliA	yjgA[yjgAp11]	+	[ICWHO]
FliA	yjhU[yjhUp8]	+	[ICWHO]
FliA	ykfBF-yafX-ykfGH-yafW-ykfI[ykfBp1]	+	[HIPP]
FliA	ykfBF-yafX-ykfGH-yafW-ykfI[ykfBp2]	+	[HIPP]
FliA	ymdA[ymdAp9]	+	[ICWHO]
FliA	ymgE[ymgEp7]	+	[ICWHO]
FliA	yncD[yncDp11]	+	[ICWHO]
FliA	ynjF[ynjFp6]	+	[ICWHO]
FliA	ynjH[ynjHp]	+	"[AIPP, HIPP]"
FliA	ynjH[ynjHp2]	+	[HIPP]
FliA	yoaC[yoaCp7]	+	[ICWHO]
FliA	yodB[yodBp14]	+	[ICWHO]
FliA	yphB[yphBp2]	+	[ICWHO]
FliA	yqeIJ[yqeIp8]	+	[ICWHO]
FliA	yraQ[yraQp4]	+	[ICWHO]
FliA	yrfF[yrfFp12]	+	[ICWHO]
FliA	ytfI[ytfIp11]	+	[ICWHO]
FliA	mpaA[mpaAp4]	+	[ICWHO]
FliA	pyrE[pyrEp4]	+	[ICWHO]
FliA	srmB[srmBp4]	+	[ICWHO]
RpoH	mpaA[mpaAp4]	+	[ICWHO]
RpoH	pyrE[pyrEp4]	+	[ICWHO]
RpoD	srmB[srmBp4]	+	[ICWHO]
RpoH	aaeB[aaeBp7]	+	[ICWHO]
RpoH	ackA[ackAp]	+	[AIPP]
RpoH	adiC[adiCp7]	+	[ICWHO]
RpoH	ahr[yjgBp8]	+	[ICWHO]
RpoH	ahr[yjgBp9]	+	[ICWHO]
RpoH	alaA[alaAp9]	+	[ICWHO]
RpoH	alsE[alsEp3]	+	[ICWHO]
RpoH	alsK[alsKp1]	+	[ICWHO]
RpoH	ampG[ampGp4]	+	[ICWHO]
RpoH	araH[araHp7]	+	[ICWHO]
RpoH	azoR[azoRp8]	+	[ICWHO]
RpoH	betA[betAp5]	+	[ICWHO]
RpoH	bssS[bssSp1]	+	"[AIPP, IDA, IEP]"
RpoH	bssS[bssSp2]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	caiE[caiEp5]	+	[ICWHO]
RpoH	cas2[ygbFp]	+	"[AIPP, TIM]"
RpoH	casDE12[casDp]	+	"[IDA, IEP]"
RpoH	cbrA[cbrAp6]	+	[ICWHO]
RpoH	cheW[cheWp5]	+	[ICWHO]
RpoH	clpPX[clpPp3]	+	"[IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	cra[fruRp8]	+	[ICWHO]
RpoH	creABC[creAp2]	+	"[HIPP, TIM]"
RpoH	csiR[csiRp5]	+	[ICWHO]
RpoH	cspH[cspHp8]	+	[ICWHO]
RpoH	cspH[cspHp12]	+	[ICWHO]
RpoH	cydX-ybgE[ybgEp4]	+	[ICWHO]
RpoH	cysC[cysCp3]	+	[ICWHO]
RpoH	dcp[dcpp3]	+	[ICWHO]
RpoH	dcrB[dcrBp6]	+	[ICWHO]
RpoH	dedA[dedAp2]	+	[ICWHO]
RpoH	dedD[dedDp2]	+	[ICWHO]
RpoH	dnaK-tpke11-dnaJ[dnaKp1]	+	"[HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	dnaK-tpke11-dnaJ[dnaKp2]	+	"[HIPP, IDA, IEP, TIM]"
RpoH	dnaK-tpke11-dnaJ[dnaKp3]	+	"[HIPP, IDA, IEP, TIM]"
RpoH	dosP[dosPp3]	+	[ICWHO]
RpoH	dusA[dusAp9]	+	[ICWHO]
RpoH	entD[entDp1]	+	[ICWHO]
RpoH	exuR[exuRp]	+	[AIPP]
RpoH	fecE[fecEp3]	+	[ICWHO]
RpoH	fecE[fecEp4]	+	[ICWHO]
RpoH	frlABCDR[frlAp5]	+	[ICWHO]
RpoH	frlABCDR[frlAp17]	+	[ICWHO]
RpoH	fsaA[fsaAp6]	+	[ICWHO]
RpoH	fsr[fsrp8]	+	[ICWHO]
RpoH	fsr[fsrp9]	+	[ICWHO]
RpoH	ftsP[ftsPp2]	+	[ICWHO]
RpoH	fxsA[fxsAp]	+	"[AIPP, HIPP, IDA, IEP, TIM]"
RpoH	gapA-yeaD[gapAp2]	+	"[AIPP, HIPP, IDA, TIM]"
RpoH	ghxP[yjcDp7]	+	[ICWHO]
RpoH	gldA[gldAp4]	+	[ICWHO]
RpoH	glgP[glgPp1]	+	[ICWHO]
RpoH	glnE[glnEp5]	+	[ICWHO]
RpoH	gntU[gntUp2]	+	[ICWHO]
RpoH	greB[greBp7]	+	[ICWHO]
RpoH	grpE[grpEp]	+	"[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	hcaT[hcaTp6]	+	[ICWHO]
RpoH	hcaT[hcaTp7]	+	[ICWHO]
RpoH	hfq-hflXKC[hfqp1]	+	"[HIPP, IDA, IEP, TIM]"
RpoH	holC-valS[holCp]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	hscC[hscCp7]	+	[ICWHO]
RpoH	hslRO[hslRp]	+	"[AIPP, TIM]"
RpoH	hslVU[hslVp]	+	"[AIPP, HIPP, IDA, IEP, TIM]"
RpoH	hspQ[hspQp]	+	"[IDA, IEP]"
RpoH	htgA[htgAp1]	+	"[HIPP, TIM]"
RpoH	htpG[htpGp1]	+	"[AIPP, HIPP, IDA, IEP, TIM]"
RpoH	htpG[htpGp2]	+	"[AIPP, HIPP, IDA, IEP, TIM]"
RpoH	htpX[htpXp]	+	"[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	iap[iapp7]	+	[ICWHO]
RpoH	ibpAB[ibpAp]	+	"[AIPP, HIPP, IDA, IEP, TIM]"
RpoH	idi[idip10]	+	[ICWHO]
RpoH	ileS-lspA-fkpB-ispH[ileSp3]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoH	insEF-2F-2[insFp5]	+	[ICWHO]
RpoH	insEF-4F-4[insFp5]	+	[ICWHO]
RpoH	insH-5[insHp3]	+	[ICWHO]
RpoH	ivy[ivyp5]	+	[ICWHO]
RpoH	kefFC[kefFp2]	+	[ICWHO]
RpoH	ldhA[ldhAp]	+	"[AIPP, IDA, IEP]"
RpoH	ligB[ligBp4]	+	[ICWHO]
RpoH	lplA[lplAp2]	+	[ICWHO]
RpoH	lplT[lplTp3]	+	[ICWHO]
RpoH	macB[macBp1]	+	[AIPP]
RpoH	macB[macBp2]	+	[AIPP]
RpoH	maeA[maeAp4]	+	[ICWHO]
RpoH	mcbR[mcbRp3]	+	[ICWHO]
RpoH	metA[metAp1]	+	"[RS-EPT-CBR, TIM]"
RpoH	mglC[mglCp5]	+	[ICWHO]
RpoH	mhpT[mhpTp]	+	[AIPP]
RpoH	miaA-hfq-hflXKC[miaAp2]	+	"[HIPP, IDA, IEP, TIM]"
RpoH	mlrA[mlrAp9]	+	[ICWHO]
RpoH	mmuPM[mmuPp6]	+	[ICWHO]
RpoH	mngAB[mngAp]	+	"[HIPP, IC]"
RpoH	mppA[mppAp4]	+	[ICWHO]
RpoH	msrB[msrBp5]	+	[ICWHO]
RpoH	mutL-miaA-hfq-hflXKC[mutLp2]	+	"[HIPP, IDA, IEP, TIM]"
RpoH	mutM[mutMp]	+	"[AIPP, TIM]"
RpoH	mutM[mutMp2]	+	[AIPP]
RpoH	narP[narPp]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	nfuA[nfuAp2]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoH	opgD[opgDp8]	+	[ICWHO]
RpoH	opgE[ybiPp5]	+	[ICWHO]
RpoH	osmF-yehYXW[osmFp2]	+	"[IDA, IEP]"
RpoH	pabC-yceG-tmk-holB-ycfH[pabCp8]	+	[ICWHO]
RpoH	pbpC[pbpCp2]	+	[ICWHO]
RpoH	pflDC[pflDp2]	+	[ICWHO]
RpoH	pgl[pglp2]	+	[ICWHO]
RpoH	pgpC-tadA[pgpCp]	+	[AIPP]
RpoH	pgrR[ycjZp7]	+	[ICWHO]
RpoH	phoPQ[phoPp3]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	pldB-yigL[pldBp6]	+	[ICWHO]
RpoH	pncC[pncCp]	+	"[HIPP, TIM]"
RpoH	pntB[pntBp6]	+	[ICWHO]
RpoH	pphA[pphAp]	+	"[AIPP, TIM]"
RpoH	ppiD[ppiDp1]	+	"[HIPP, TIM]"
RpoH	prfC[prfCp2]	+	[ICWHO]
RpoH	prlC-rsmJ[prlCp]	+	"[AIPP, IDA, IEP, RS-EPT-CBR]"
RpoH	proBA[proBp11]	+	[ICWHO]
RpoH	purT[purTp5]	+	[ICWHO]
RpoH	raiA[raiAp]	+	"[IDA, IEP]"
RpoH	rarD[rarDp4]	+	[ICWHO]
RpoH	rarD[rarDp5]	+	[ICWHO]
RpoH	rdgB-yggW[rdgBp]	+	"[AIPP, TIM]"
RpoH	rfaD-waaFCL[rfaDp3]	+	[TIM]
RpoH	rfbX[rfbXp5]	+	[ICWHO]
RpoH	rhsC-ybfB[rhsCp3]	+	[ICWHO]
RpoH	ribE-nusB-thiL-pgpA[ribEp]	+	"[AIPP, RS-EPT-CBR, TIM]"
RpoH	rlmE-ftsH[rlmEp2]	+	"[AIPP, HIPP, IDA, IEP, TIM]"
RpoH	rlpA[rlpAp5]	+	[ICWHO]
RpoH	rnlA[rnlAp]	+	"[AIPP, IDA]"
RpoH	rpmE[rpmEp]	+	"[HTTIM, IDA, IEP]"
RpoH	rpoD[rpoDp3]	+	"[HIPP, IDA, IEP, IMP, TIM]"
RpoH	rsmB[rsmBp4]	+	[ICWHO]
RpoH	rsmI[rsmIp8]	+	[ICWHO]
RpoH	rsuA[rsuAp3]	+	[ICWHO]
RpoH	ruvB[ruvBp1]	+	[ICWHO]
RpoH	ruvB[ruvBp4]	+	[ICWHO]
RpoH	ryfA[ryfAp11]	+	[ICWHO]
RpoH	sanA-yeiS[sanAp3]	+	[ICWHO]
RpoH	sdaA[sdaAp]	+	"[HIPP, IDA, IEP, TIM]"
RpoH	slt[sltp7]	+	[ICWHO]
RpoH	slyX[slyXp4]	+	[ICWHO]
RpoH	smrB[smrBp4]	+	[ICWHO]
RpoH	syd[sydp2]	+	[ICWHO]
RpoH	tfaQ[tfaQp6]	+	[ICWHO]
RpoH	tldD[tldDp6]	+	[ICWHO]
RpoH	tolB-pal-ybgF[tolBp3]	+	[ICWHO]
RpoH	topA[topAp1]	+	"[AIPP, HIPP, IMP, TIM]"
RpoH	trmA[trmAp]	+	"[HIPP, TIM]"
RpoH	trpA[trpAp7]	+	[ICWHO]
RpoH	tusB[tusBp7]	+	[ICWHO]
RpoH	wbbH[rfcp7]	+	[ICWHO]
RpoH	wzzB[cldp7]	+	[ICWHO]
RpoH	yaaW[yaaWp3]	+	[ICWHO]
RpoH	yadD[yadDp4]	+	[ICWHO]
RpoH	yadD[yadDp5]	+	[ICWHO]
RpoH	yafC[yafCp6]	+	[ICWHO]
RpoH	yafDE[yafDp]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	yafU[yafUp]	+	"[IDA, IEP]"
RpoH	yagGH[yagGp8]	+	[ICWHO]
RpoH	yagN[yagNp4]	+	[ICWHO]
RpoH	yahN[yahNp5]	+	[ICWHO]
RpoH	yahN[yahNp6]	+	[ICWHO]
RpoH	yaiO[yaiOp5]	+	[ICWHO]
RpoH	yaiS[yaiSp9]	+	[ICWHO]
RpoH	yajD[yajDp6]	+	[ICWHO]
RpoH	yajL[yajLp2]	+	[ICWHO]
RpoH	ybbN[ybbNp1]	+	"[AIPP, IDA, IEP]"
RpoH	ybbN[ybbNp2]	+	[AIPP]
RpoH	ybcJ[ybcJp5]	+	[ICWHO]
RpoH	ybcN-ninE-ybcO-rusA-ylcG[ybcNp6]	+	[ICWHO]
RpoH	ybcQ[quuDp3]	+	[ICWHO]
RpoH	ybdJ[ybdJp3]	+	[ICWHO]
RpoH	ybeF[ybeFp6]	+	[ICWHO]
RpoH	ybeQ[ybeQp10]	+	[ICWHO]
RpoH	ybeU-djlC[ybeUp5]	+	[ICWHO]
RpoH	ybeZYX-lnt[ybeZp]	+	"[AIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoH	ybfE[ybfEp]	+	[AIPP]
RpoH	ybgC-tolQRA[ybgCp6]	+	[ICWHO]
RpoH	ybgS[ybgSp8]	+	[ICWHO]
RpoH	ybiA[ybiAp6]	+	[ICWHO]
RpoH	ybjE[ybjEp5]	+	[ICWHO]
RpoH	ycaI-msbA-lpxK-ycaQ[ycaIp6]	+	[ICWHO]
RpoH	ycaK[ycaKp4]	+	[ICWHO]
RpoH	yccE[yccEp]	+	"[IDA, IEP]"
RpoH	yccS[yccSp3]	+	[ICWHO]
RpoH	ycdU[ycdUp11]	+	[ICWHO]
RpoH	yceF[yceFp8]	+	[ICWHO]
RpoH	ycfZ[ycfZp5]	+	[ICWHO]
RpoH	ycfZ[ycfZp6]	+	[ICWHO]
RpoH	yciA[yciAp8]	+	[ICWHO]
RpoH	yciE[yciEp7]	+	[ICWHO]
RpoH	yciN[yciNp8]	+	[ICWHO]
RpoH	ycjXF-tyrR[ycjXp]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	ycjY[ycjYp6]	+	[ICWHO]
RpoH	ycjY-ymjDC-mpaA[ycjYp6]	+	[ICWHO]
RpoH	ydaSTUVW-rzpR[ydaSp3]	+	[ICWHO]
RpoH	ydcX[ydcXp9]	+	[ICWHO]
RpoH	yddE[yddEp5]	+	[ICWHO]
RpoH	ydeO[ydeOp]	+	"[IDA, IEP]"
RpoH	ydfABC[ydfAp6]	+	[ICWHO]
RpoH	ydgD[ydgDp4]	+	[ICWHO]
RpoH	ydgD[ydgDp7]	+	[ICWHO]
RpoH	ydgH[ydgHp5]	+	[ICWHO]
RpoH	ydhQ[ydhQp]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	ydiH[ydiHp2]	+	[ICWHO]
RpoH	ydjXYZ-ynjABCD[ydjXp5]	+	[ICWHO]
RpoH	yeaQ[yeaQp3]	+	[ICWHO]
RpoH	yecC[yecCp3]	+	[ICWHO]
RpoH	yedEF[yedEp8]	+	[ICWHO]
RpoH	yedYZ[yedYp4]	+	[ICWHO]
RpoH	yeeJ[yeeJp8]	+	[ICWHO]
RpoH	yegS[yegSp5]	+	[ICWHO]
RpoH	yehR[yehRp]	+	"[IDA, IEP]"
RpoH	yeiE[yeiEp5]	+	[ICWHO]
RpoH	yeiQ[yeiQp5]	+	[ICWHO]
RpoH	yfaE[yfaEp2]	+	[ICWHO]
RpoH	yfbL[yfbLp3]	+	[ICWHO]
RpoH	yfbR[yfbRp3]	+	[ICWHO]
RpoH	yfdF[yfdFp4]	+	[ICWHO]
RpoH	yfdPQ[yfdPp5]	+	[ICWHO]
RpoH	yfeH[yfeHp3]	+	[ICWHO]
RpoH	yffOP[yffOp8]	+	[ICWHO]
RpoH	yfhR[yfhRp4]	+	[ICWHO]
RpoH	yfiRN[yfiRp7]	+	[ICWHO]
RpoH	yfjI[yfjIp10]	+	[ICWHO]
RpoH	yfjPQ[yfjPp8]	+	[ICWHO]
RpoH	yfjXY-ypjJ-yfjZ-ypjF[yfjXp2]	+	[ICWHO]
RpoH	ygbLM[ygbLp4]	+	[ICWHO]
RpoH	ygbLM[ygbLp5]	+	[ICWHO]
RpoH	ygdI[ygdIp7]	+	[ICWHO]
RpoH	ygdI[ygdIp10]	+	[ICWHO]
RpoH	ygeW[ygeWp5]	+	[ICWHO]
RpoH	ygeW[ygeWp6]	+	[ICWHO]
RpoH	yggI[yggIp5]	+	[ICWHO]
RpoH	yghD[yghDp4]	+	[ICWHO]
RpoH	yghJ[yghJp7]	+	[ICWHO]
RpoH	yghQ[yghQp7]	+	[ICWHO]
RpoH	yghQ[yghQp8]	+	[ICWHO]
RpoH	yghT[yghTp4]	+	[ICWHO]
RpoH	ygiV[ygiVp3]	+	[ICWHO]
RpoH	ygiW[ygiWp5]	+	[ICWHO]
RpoH	ygiW[ygiWp7]	+	[ICWHO]
RpoH	ygjQ[ygjQp3]	+	[ICWHO]
RpoH	yhaKL[yhaKp3]	+	[ICWHO]
RpoH	yhcAD-ychE_1[yhcAp11]	+	[ICWHO]
RpoH	yhcH[yhcHp2]	+	[ICWHO]
RpoH	yhcO[yhcOp3]	+	[ICWHO]
RpoH	yhdJ[yhdJp2]	+	[ICWHO]
RpoH	yhdN-zntR[yhdNp]	+	"[AIPP, IDA, IEP, TIM]"
RpoH	yhdV[yhdVp9]	+	[ICWHO]
RpoH	yhgA[yhgAp6]	+	[ICWHO]
RpoH	yhhA[yhhAp6]	+	[ICWHO]
RpoH	yhhJ[yhhJp3]	+	[ICWHO]
RpoH	yhhX[yhhXp4]	+	[ICWHO]
RpoH	yhjV[yhjVp3]	+	[ICWHO]
RpoH	yiaA[yiaAp]	+	"[IDA, IEP]"
RpoH	yiaD[yiaDp4]	+	[ICWHO]
RpoH	yibA[yibAp]	+	"[IDA, IEP]"
RpoH	yidF[yidFp5]	+	[ICWHO]
RpoH	yihA[yihAp9]	+	[ICWHO]
RpoH	yihVW[yihVp6]	+	[ICWHO]
RpoH	yijO[yijOp5]	+	[ICWHO]
RpoH	yjaZ[yjaZp]	+	"[HIPP, TIM]"
RpoH	yjcO[yjcOp4]	+	[ICWHO]
RpoH	yjcO[yjcOp5]	+	[ICWHO]
RpoH	yjeJ[yjeJp7]	+	[ICWHO]
RpoH	yjfP[yjfPp4]	+	[ICWHO]
RpoH	yjfZ[yjfZp7]	+	[ICWHO]
RpoH	yjhBC[yjhBp2]	+	[ICWHO]
RpoH	yjhIHG[yjhIp]	+	"[IDA, IEP]"
RpoH	yjiA[yjiAp6]	+	[ICWHO]
RpoH	yjiL[yjiLp2]	+	[ICWHO]
RpoH	yjiL[yjiLp3]	+	[ICWHO]
RpoH	yjiT[yjiTp]	+	"[IDA, IEP]"
RpoH	ykgEFG[ykgEp10]	+	[ICWHO]
RpoH	ykgJ[ykgJp3]	+	[ICWHO]
RpoH	ymfK[cohEp10]	+	[ICWHO]
RpoH	ymfTLMNROPQ-ycfK-ymfS[croEp4]	+	[ICWHO]
RpoH	ymjA[ymjAp5]	+	[ICWHO]
RpoH	ynbABCD[ynbAp3]	+	[ICWHO]
RpoH	yneJ[yneJp6]	+	[ICWHO]
RpoH	yneK[yneKp6]	+	[ICWHO]
RpoH	ynfA[ynfAp4]	+	[ICWHO]
RpoH	ynfC[ynfCp9]	+	[ICWHO]
RpoH	ynhG[ynhGp4]	+	[ICWHO]
RpoH	ynhG[ynhGp7]	+	[ICWHO]
RpoH	yoaB[yoaBp2]	+	[ICWHO]
RpoH	yodB[yodBp13]	+	[ICWHO]
RpoH	yodB[yodBp15]	+	[ICWHO]
RpoH	yodC[yodCp7]	+	[ICWHO]
