TF	TU	Function	Evidence that supports the existence of the regulatory interaction
CRP	lsrRK[lsrRp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	malEFG[malEp]	+	"[AIBSCS, BPP, HIBSCS, SM]"
CRP	malI[malIp]	+	"[AIBSCS, BCE, BPP, GEA, SM]"
CRP	malK-lamB-malM[malKp]	+	"[AIBSCS, BPP, HIBSCS, SM]"
CRP	malS[malSp]	+	[AIBSCS]
CRP	malT[malTp]	+	"[BPP, GEA, HIBSCS]"
CRP	malXY[malXp]	+	"[AIBSCS, BCE, BPP, GEA, SM]"
CRP	manA[manAp]	+	[HIBSCS]
CRP	manXYZ[manXp]	+	"[AIBSCS, BCE, GEA, HIBSCS]"
CRP	marRAB[marRp]	+	"[AIBSCS, GEA, IMP]"
CRP	mcaS[mcaSp]	+	"[BPP, GEA, HIBSCS]"
CRP	mdh[mdhp1]	+	"[BCE, GEA]"
CRP	melAB[melAp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	melR[melRp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	metK[metKp]	-	"[AIBSCS, GEA]"
CRP	metY[metYp2]	-	"[BPP, GEA, SM]"
CRP	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	-	"[BPP, GEA, SM]"
CRP	mglBAC[mglBp]	+	"[AIBSCS, BCE, BPP, GEA, SM]"
CRP	mhpABCDFE[mhpAp]	+	"[BCE, GEA, HIBSCS]"
CRP	mhpR-lacI[mhpRp1]	+	"[BPP, GEA, HIBSCS]"
CRP	mlc[mlcp1]	-	"[GEA, HIBSCS]"
CRP	mlc-ynfK[mlcp2]	+	"[GEA, HIBSCS]"
CRP	modABC[modAp]	+	"[AIBSCS, GEA]"
CRP	mpl[mplp1]	+	[AIBSCS]
CRP	mtlADR[mtlAp]	+	"[BPP, HIBSCS]"
CRP	murQP[murQp1]	+	"[AIBSCS, BPP, GEA]"
CRP	murQP[murQp2]	+	"[AIBSCS, BPP, GEA]"
CRP	nadC[nadCp]	+	"[AIBSCS, GEA]"
CRP	nagBAC-umpH[nagBp]	+-	"[BCE, BPP, GEA, HIBSCS]"
CRP	nagE[nagEp]	+-	"[BCE, BPP, GEA, HIBSCS]"
CRP	nanA[nanAp]	+	[BPP]
CRP	nanATEK-yhcH[nanAp]	+	[BPP]
CRP	nanCM[nanCp]	+	"[AIBSCS, BPP, GEA]"
CRP	nanCMS[nanCp]	+	"[AIBSCS, BPP, GEA]"
CRP	narQ[narQp]	-	"[GEA, HIBSCS]"
CRP	nirBDC-cysG[nirBp]	-	"[AIBSCS, GEA]"
CRP	nmpC[nmpCp]	+	"[HIBSCS, SM]"
CRP	nrdAB-yfaE[nrdAp]	+	"[AIBSCS, GEA]"
CRP	nupC[nupCp]	+	"[GEA, HIBSCS]"
CRP	nupG[nupGp]	+	"[BPP, HIBSCS, SM, AIBSCS, GEA, BCE]"
CRP	ompA[ompAp1]	+	"[GEA, HIBSCS]"
CRP	ompF[ompFp]	+	"[AIBSCS, GEA]"
CRP	ompR-envZ[ompRp2]	+	"[BPP, HIBSCS, SM]"
CRP	ompR-envZ[ompRp1]	-	"[BPP, HIBSCS, SM]"
CRP	ompR-envZ[ompRp3]	+	"[BPP, HIBSCS, SM]"
CRP	ompR-envZ[ompRp4]	-	"[BPP, HIBSCS, SM]"
CRP	osmY[osmYp]	-	"[GEA, HIBSCS, IHBCE]"
CRP	oxyR[oxyRp]	+	"[GEA, HIBSCS]"
CRP	paaABCDEFGHIJK[paaAp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	paaZ[paaZp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	pdhR-aceEF-lpd[pdhRp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	pka[pkap]	+	"[AIBSCS, GEA]"
CRP	pncB[pncBp]	-	"[AIBSCS, GEA]"
CRP	ppdD-hofBC[ppdDp]	+	"[AIBSCS, BPP]"
CRP	ppiA[ppiAp2]	+-	"[BPP, GEA, HIBSCS]"
CRP	ppiA[ppiAp3]	+-	"[BPP, GEA, HIBSCS]"
CRP	ppiA[ppiAp4]	-	"[BPP, GEA, HIBSCS]"
CRP	preTA[yeiTp]	+	[AIBSCS]
CRP	proP[proPp2]	+	"[BPP, GEA, HIBSCS]"
CRP	proP[proPp1]	-	"[BCE, GEA, SM]"
CRP	prpBCDE[prpBp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	prpR[prpRp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	psiE[psiEp]	-	"[BPP, GEA, HIBSCS]"
CRP	ptsG[ptsGp1]	+	"[AIBSCS, BPP, GEA]"
CRP	ptsHI-crr[ptsHp4]	+	"[BPP, GEA, HIBSCS]"
CRP	ptsHI-crr[ptsHp5]	+	"[BPP, GEA, HIBSCS]"
CRP	ptsHI-crr[ptsHp2]	-	"[AIBSCS, GEA, HIBSCS]"
CRP	ptsHI-crr[ptsHp1]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	putP[putPp4]	-	"[GEA, HIBSCS]"
CRP	puuDRCBE[puuDp]	-	"[HIBSCS, IEP]"
CRP	raiA[raiAp]	+	"[AIBSCS, BPP, GEA]"
CRP	rbsDACBKR[rbsDp]	+	"[AIBSCS, GEA]"
CRP	relA-mazEF[relAp2]	+	"[BPP, HIBSCS, SM]"
CRP	rhaBAD[rhaBp]	+	"[AIBSCS, BCE, GEA, HIBSCS]"
CRP	rhaSR[rhaSp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CRP	rhaT[rhaTp]	+	"[AIBSCS, GEA]"
CRP	rmf[rmfp]	+	"[AIBSCS, BPP, GEA]"
CRP	rplM-rpsI[rplMp]	-	"[AIBSCS, BPP, GEA]"
CRP	rpoH[rpoHp5]	+	"[BCE, AIBSCS, BPP, GEA]"
CRP	rpoH[rpoHp4]	-	"[AIBSCS, BPP, GEA]"
CRP	rpoH[rpoHp3]	-	"[AIBSCS, BPP, GEA]"
CRP	rpoS[rpoSp]	?	[BCE]
CRP	rpsF-priB-rpsR-rplI[rpsFp]	+	"[AIBSCS, BPP, GEA]"
CRP	sbmC[sbmCp2]	+	"[AIBSCS, BPP, IHBCE]"
CRP	sdhCDAB-sucABCD[sdhCp]	+	"[AIBSCS, BCE, GEA]"
CRP	sdhDAB[sdhDp2]	+	[BCE]
CRP	serA[serAp2]	+	"[GEA, HIBSCS]"
CRP	serC[serCp]	-	"[GEA, HIBSCS, SM]"
CRP	serC-aroA[serCp]	-	"[GEA, HIBSCS, SM]"
CRP	sfsA-dksA[sfsAp]	+	[HIBSCS]
CRP	sodA[sodAp]	+	"[AIBSCS, GEA]"
CRP	sodB[sodBp]	-	"[AIBSCS, GEA]"
CRP	sohB[sohBp1]	-	[AIBSCS]
CRP	sohB[sohBp2]	-	[AIBSCS]
CRP	speC[speCp]	-	"[GEA, IMP]"
CRP	spf[spfp]	-	[HIBSCS]
CRP	srlAEBD-gutM-srlR-gutQ[srlAp]	+	"[AIBSCS, GEA]"
CRP	tdcABCDEFG[tdcAp]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
CRP	tnaC[tnaCp]	+	"[AIBSCS, BCE, GEA, HIBSCS]"
CRP	tnaCAB[tnaCp]	+	"[AIBSCS, BCE, GEA, HIBSCS]"
CRP	treBC[treBp]	-	"[HIBSCS, AIBSCS, GEA]"
