TU	Gene
hlpA-lpxD-fabZ-lpxA	hlpA
hlpA-lpxD-fabZ-lpxA	lpxD
hlpA-lpxD-fabZ-lpxA	fabZ
hlpA-lpxD-fabZ-lpxA	lpxA
lpxD	lpxD
bamB-der	bamB
bamB-der	der
bamD	bamD
bamE	bamE
barA	barA
basRS	basR
basRS	basS
basS	basS
bax	bax
bcp	bcp
bcr	bcr
bcsABZC	bcsA
bcsABZC	bcsB
bcsABZC	bcsZ
bcsABZC	bcsC
bcsBZ	bcsB
bcsBZ	bcsZ
bcsEFG	bcsE
bcsEFG	bcsF
bcsEFG	bcsG
bcsQ	bcsQ
bdcA	bdcA
bdcR	bdcR
bdm-sra	bdm
bdm-sra	sra
sra	sra
bepA-yfgD	bepA
bepA-yfgD	yfgD
betA	betA
betIBA	betI
betIBA	betB
betIBA	betA
betT	betT
bfd-bfr	bfd
bfd-bfr	bfr
bfr	bfr
bglA	bglA
bglG	bglG
bglGFB	bglG
bglGFB	bglF
bglGFB	bglB
bglH-yieLK	bglH
bglH-yieLK	yieL
bglH-yieLK	yieK
yieK	yieK
bglX	bglX
bhsA	bhsA
bioA	bioA
bioBFCD	bioB
bioBFCD	bioF
bioBFCD	bioC
bioBFCD	bioD
bioH	bioH
bisC	bisC
blc	blc
blr	blr
bluF	bluF
bluR	bluR
bolA	bolA
borD	borD
brnQ-proY	brnQ
brnQ-proY	proY
bsmA	bsmA
bssR	bssR
bssS	bssS
btuB-murI	btuB
btuB-murI	murI
btuCED	btuC
btuCED	btuE
btuCED	btuD
cadA	cadA
cadBA	cadB
cadBA	cadA
cadC	cadC
caiF	caiF
caiCDE	caiC
caiCDE	caiD
caiCDE	caiE
caiE	caiE
caiTABCDE	caiT
caiTABCDE	caiA
caiTABCDE	caiB
caiTABCDE	caiC
caiTABCDE	caiD
caiTABCDE	caiE
can	can
carAB	carA
carAB	carB
carB	carB
cas3	cas3
cas2	cas2
casABCDE12	casA
casABCDE12	casB
casABCDE12	casC
casABCDE12	casD
casABCDE12	casE
casABCDE12	cas1
casABCDE12	cas2
casDE12	casD
casDE12	casE
casDE12	cas1
casDE12	cas2
cbl	cbl
cbpAM	cbpA
cbpAM	cbpM
cbrA	cbrA
cbrB	cbrB
cbrBC	cbrB
cbrBC	cbrC
cbrC	cbrC
cdaR	cdaR
cdd	cdd
cdh	cdh
cdsA	cdsA
cedA	cedA
cfa	cfa
chaA	chaA
chaBC	chaB
chaBC	chaC
chaC	chaC
chbBCARFG	chbB
chbBCARFG	chbC
chbBCARFG	chbA
chbBCARFG	chbR
chbBCARFG	chbF
chbBCARFG	chbG
chbG	chbG
chiA	chiA
chiP-ybfN	chiP
chiP-ybfN	ybfN
ybfN	ybfN
cho	cho
chpSB	chpS
chpSB	chpB
cirA	cirA
citCDEFXG	citC
citCDEFXG	citD
citCDEFXG	citE
citCDEFXG	citF
citCDEFXG	citX
citCDEFXG	citG
citT	citT
clcA	clcA
clcB	clcB
clpA	clpA
clpB	clpB
clpPX	clpP
clpPX	clpX
clpX-lon	clpX
clpX-lon	lon
lon	lon
clpS	clpS
clsA-yciU	clsA
clsA-yciU	yciU
yciU	yciU
cmk-rpsA	cmk
cmk-rpsA	rpsA
ihfB	ihfB
rpsA-ihfB	rpsA
rpsA-ihfB	ihfB
cmtBA-yggPFDC	cmtB
cmtBA-yggPFDC	cmtA
cmtBA-yggPFDC	yggP
cmtBA-yggPFDC	yggF
cmtBA-yggPFDC	yggD
cmtBA-yggPFDC	yggC
yggC	yggC
yggDC	yggD
yggDC	yggC
cnu	cnu
coaA	coaA
coaE-zapD-yacG	coaE
coaE-zapD-yacG	zapD
coaE-zapD-yacG	yacG
yacG	yacG
cobT	cobT
cobUST	cobU
cobUST	cobS
cobUST	cobT
codBA	codB
codBA	codA
cof	cof
comR	comR
copA	copA
corA	corA
cpdB	cpdB
cpxP	cpxP
cpxA	cpxA
cpxRA	cpxR
cpxRA	cpxA
cra	cra
crcB	crcB
creABC	creA
creABC	creB
creABC	creC
creABCD	creA
creABCD	creB
creABCD	creC
creABCD	creD
creD	creD
crfC-yjcZ	crfC
crfC-yjcZ	yjcZ
crl	crl
crp	crp
csdAE	csdA
csdAE	csdE
csgBAC	csgB
csgBAC	csgA
csgBAC	csgC
csgC	csgC
csgDEFG	csgD
csgDEFG	csgE
csgDEFG	csgF
csgDEFG	csgG
csgG	csgG
csiD-lhgO-gabDTP	csiD
csiD-lhgO-gabDTP	lhgO
csiD-lhgO-gabDTP	gabD
csiD-lhgO-gabDTP	gabT
csiD-lhgO-gabDTP	gabP
gabDTP	gabD
gabDTP	gabT
gabDTP	gabP
csiE	csiE
csiR	csiR
cspA	cspA
cspB	cspB
cspD	cspD
cspE	cspE
cspF	cspF
cspG	cspG
cspH	cspH
cspI	cspI
csrA	csrA
csrB	csrB
csrC	csrC
csrD	csrD
cstA	cstA
cueO	cueO
cueR	cueR
curA	curA
cusCFBA	cusC
cusCFBA	cusF
cusCFBA	cusB
cusCFBA	cusA
cusRS	cusR
cusRS	cusS
cutA	cutA
cutC	cutC
cvpA-purF-ubiX	cvpA
cvpA-purF-ubiX	purF
