Operon	TU
mltD	mltD
mltD	mltD
yafS	yafS
gloB	gloB
dnaQ	dnaQ
dnaQ	dnaQ
rnhA	rnhA
aspV	aspV
yafT	yafT
yafT	yafT
yafT	yafT
yafV	yafV
ivy	ivy
ivy	ivy
fadE	fadE
lpcA	lpcA
yafK	yafK
dinJ-yafQ	dinJ-yafQ
yafL	yafL
rayT	rayT
rayT	rayT
dinB-yafNOP	dinB-yafNOP
dinB-yafNOP	yafNOP
pepD	pepD
pepD	pepD
pepD	pepD
gpt	gpt
frsA	frsA
crl	crl
crl	crl
phoE	phoE
proBA	proBA
proBA	proBA
thrW	thrW
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	ykfI
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	ykfBF-yafX-ykfGH-yafW-ykfI
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	ykfBF-yafX-ykfGH-yafW-ykfI
ykfA-yafZ	yafZ
insN-1I-1O-1	insN-1I-1O-1
mmuPM	mmuPM
mmuPM	mmuPM
mmuPM	mmuPM
mmuPM	mmuPM
insH-1	insH-1
mmuPM	mmuPM
yagEF	yagEF
yagEF	yagEF
yagGH	yagGH
yagGH	yagGH
yagGH	yagGH
yagGH	yagGH
yagI	yagI
argF	argF
yagK	yagK
yagML	yagL
yagN	yagN
yagN	yagN
yagN	yagN
yagN	yagN
ykgJ	ykgJ
ykgJ	ykgJ
ecpBCDE	ecpBCDE
ecpBCDE	ecpBCDE
ecpA	ecpA
ecpR	ecpR
ecpR	ecpR
ecpR	ecpR
ecpR	ecpR
ecpR	ecpR
ykgL	ykgL
ykgMO	ykgMO
ykgR	ykgR
rclABC	rclC
rclABC	rclC
rclABC	rclC
rclABC	rclC
rclABC	rclC
rclABC	rclA
rclR	rclR
rclABC	rclA
rclR	rclR
rclABC	rclABC
ykgEFG	ykgEFG
ykgEFG	ykgEFG
ykgEFG	ykgEFG
ykgEFG	ykgEFG
betIBA	betA
betIBA	betA
betIBA	betIBA
betT	betT
yahA	yahA
yahA	yahA
yahC	yahC
yahDEFG	yahE
yahM	yahM
yahM	yahM
yahO	yahO
yahN	yahN
yahN	yahN
prpR	prpR
prpBCDE	prpBCDE
codBA	codBA
cynR	cynR
cynTSX	cynTSX
cynTSX	cynTS
lacZYA	lacZYA
lacZYA	lacZYA
lacZYA	lacZYA
lacZYA	lacZYA
lacZYA	lacZYA
lacZYA	lacZYA
lacZYA	lacZYA
lacZYA	lacZYA
mhpR-lacI	lacI
mhpABCDFE	mhpABCDFE
mhpR-lacI	mhpR-lacI
mhpR-lacI	mhpR-lacI
mhpT	mhpT
yaiXO	yaiO
yaiXO	yaiO
yaiXO	yaiO
yaiP	yaiP
yaiS	yaiS
yaiS	yaiS
yaiS	yaiS
yaiS	yaiS
tauABCD	tauABCD
hemB	hemB
insEF-2E-2F-2	insEF-2F-2
insEF-2E-2F-2	insEF-2F-2
yaiV	yaiV
ampH	ampH
ampH	ampH
sbmA-yaiW	sbmA-yaiW
yaiZ	yaiZ
yaiZ	yaiZ
yaiY	yaiY
yaiY	yaiY
iraP	iraP
iraP	iraP
phoA-psiF	phoA-psiF
adrA	adrA
proC	proC
yaiI	yaiI
yaiI	yaiI
yaiI	yaiI
aroL-yaiA-aroM	aroL-yaiA-aroM
yaiE	yaiE
mak	mak
araJ	araJ
sbcDC	sbcC
sbcDC	sbcDC
phoBR	phoBR
brnQ-proY	brnQ-proY
malZ	malZ
malZ	malZ
queA	queA
tgt-yajC-secDF	tgt-yajC
tgt-yajC-secDF	yajC-secDF
yajD	yajD
yajD	yajD
tsx	tsx
tsx	tsx
nrdR-ribDE-nusB-thiL-pgpA	nrdR-ribDE-nusB-thiL-pgpA
yajI	yajI
nrdR-ribDE-nusB-thiL-pgpA	ribE-nusB-thiL-pgpA
xseB-ispA-dxs-yajO	xseB-ispA-dxs-yajO
thiI	thiI
panE-yajL	yajL
yajQ	yajQ
yajR	yajR
cyoABCDE	cyoE
cyoABCDE	cyoABCDE
ampG	ampG
ampG	ampG
ampG	ampG
bolA	bolA
bolA	bolA
tig	tig
tig	tig
tig	tig
clpPX-lon	clpPX
clpPX-lon	clpPX
clpPX-lon	clpPX
clpPX-lon	clpX-lon
clpPX-lon	lon
hupB	hupB
hupB	hupB
hupB	hupB
hupB	hupB
hupB	hupB
hupB	hupB
hupB	hupB
hupB	hupB
ppiD	ppiD
ppiD	ppiD
ybaV	ybaV
fadM	fadM
ybaO	ybaO
glnK-amtB	glnK-amtB
tesB	tesB
ybaY	ybaY
ffs	ffs
ffs	ffs
ffs	ffs
ylaC	ylaC
tomB-hha	hha
tomB-hha	tomB-hha
acrAB	acrB
acrAB	acrAB
acrR	acrR
mscK	mscK
priC-ybaM	ybaM
ybaN	ybaN
ybaN	ybaN
ybaN	ybaN
ybaN	ybaN
apt	apt
dnaX	dnaX
ybaB-recR	ybaB-recR
htpG	htpG
htpG	htpG
htpG	htpG
adk	adk
hemH	hemH
aes	aes
ybaL	ybaL
fsr	fsr
fsr	fsr
fsr	fsr
fsr	fsr
ushA	ushA
micM	micM
ybaQ	ybaQ
ybaQ	ybaQ
ybaP	ybaP
ybaP	ybaP
ybaP	ybaP
copA	copA
ybaST	ybaST
cueR	cueR
qmcA-ybbJ	ybbJ
qmcA-ybbJ	qmcA-ybbJ
fetAB	fetAB
fetAB	fetAB
ybbN	ybbN
ybbN	ybbN
tesA-ybbO	ybbO
tesA-ybbO	tesA-ybbO
rhsD-ybbC-ylbH-ybbD	rhsD-ybbC-ylbH-ybbD
ybbB	ybbB
ybbB	ybbB
allS	allS
allA	allA
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gcl-hyi-glxR-ybbW-allB-ybbY-glxK
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	ybbY-glxK
allDCE	allE
allDCE	allDCE
fdrA-ylbE_1E_2F-ybcF	fdrA-ylbE_1E_2F-ybcF
purEK	purEK
cysS	cysS
ybcI	ybcI
folD-ybcJ	ybcJ
folD-ybcJ	ybcJ
folD-ybcJ	ybcJ
folD-ybcJ	ybcJ
folD-ybcJ	folD-ybcJ
sfmA	sfmA
sfmA	sfmA
sfmCD	sfmCD
sfmCD	sfmCD
fimZ	fimZ
argU	argU
intD	intD
ybcK	ybcK
ybcK	ybcK
ybcK	ybcK
ybcLM	ybcLM
ybcLM	ybcLM
ybcN-ninE-ybcO-rusA-ylcG	ybcN-ninE-ybcO-rusA-ylcG
ybcN-ninE-ybcO-rusA-ylcG	ybcN-ninE-ybcO-rusA-ylcG
ybcQ	ybcQ
insH-2	insH-2
nmpC	nmpC
essD-rrrD-rzpD	essD-rrrD-rzpD
borD	borD
ybcW	ybcW
ybcW	ybcW
appY	appY
appY	appY
envY-ompT	ompT
ybcH	ybcH
cusRS	cusRS
cusCFBA	cusCFBA
pheP	pheP
nfsB	nfsB
ybdF	ybdF
ybdJ	ybdJ
ybdJ	ybdJ
ybdJ	ybdJ
ybdJ	ybdJ
ybdK	ybdK
hokE	hokE
insL-2	insL-2
fepA-entD	entD
fepA-entD	entD
fepA-entD	fepA-entD
fes-ybdZ-entF-fepE	fes-ybdZ-entF-fepE
fepDGC	fepDGC
fepDGC	fepDGC
entS	entS
entS	entS
fepB	fepB
entCEBAH	entCEBAH
entCEBAH	entH
cstA	cstA
cstA	cstA
cstA	cstA
ybdD	ybdD
ybdH	ybdH
ybdH	ybdH
ybdL	ybdL
ybdM	ybdM
ybdN	ybdN
ahpCF	ahpCF
dsbG	dsbG
ahpCF	ahpCF
ahpCF	ahpF
uspG	uspG
ybdR	ybdR
rnk	rnk
rnk	rnk
rna	rna
citT	citT
citT	citT
citCDEFXG	citCDEFXG
dpiBA	dpiBA
citCDEFXG	citCDEFXG
dpiBA	dpiBA
dcuC	dcuC
pagP	pagP
cspE	cspE
cspE	cspE
crcB	crcB
crcB	crcB
tatE	tatE
lipA	lipA
ybeF	ybeF
ybeF	ybeF
ybeF	ybeF
ybeF	ybeF
ybeD-lipB	lipB
ybeD-lipB	lipB
ybeD-lipB	ybeD-lipB
dacA	dacA
dacA	dacA
rsfS-rlmH-mrdAB-rlpA	rlpA
rsfS-rlmH-mrdAB-rlpA	rlpA
rsfS-rlmH-mrdAB-rlpA	rsfS-rlmH-mrdAB-rlpA
leuS-lptE-holA-nadD-cobC	cobC
leuS-lptE-holA-nadD-cobC	cobC
ybeL	ybeL
ybeR-djlB	ybeR-djlB
ybeQ	ybeQ
ybeR-djlB	ybeR-djlB
ybeQ	ybeQ
ybeQ	ybeQ
ybeR-djlB	ybeR-djlB
ybeQ	ybeQ
ybeQ	ybeQ
ybeQ	ybeQ
ybeT	ybeT
ybeU-djlC	ybeU-djlC
ybeU-djlC	ybeU-djlC
hscC	hscC
hscC	hscC
rihA	rihA
gltI-sroC-gltJKL	gltI-sroC-gltJKL
insH-3	insH-3
insH-3	insH-3
insH-3	insH-3
ybeZYX-lnt	lnt
ybeZYX-lnt	ybeZYX-lnt
