Operon	TU
ldrB	ldrB
rdlC	rdlC
ldrC	ldrC
chaBC	chaC
ychN	ychN
ychO	ychO
narXL	narXL
narK	narK
narK	narK
narGHJI	narGHJI
tyrTV-tpr	tpr
tyrTV-tpr	tyrTV-tpr
purU	purU
purU	purU
purU	purU
rssAB	rssAB
ychJ	ychJ
rssAB	rssB
galU	galU
hns	hns
tdk	tdk
tdk	tdk
adhE	adhE
adhE	adhE
ychE	ychE
oppABCDF	oppABCDF
clsA-yciU	yciU
clsA-yciU	yciU
clsA-yciU	yciU
clsA-yciU	clsA-yciU
kch	kch
yciI	yciI
tonB	tonB
yciA	yciA
yciCB	yciB
yciCB	yciCB
ompW	ompW
yciGFE	yciE
yciGFE	yciE
yciGFE	yciE
yciGFE	yciE
yciGFE	yciGFE
yciGFE	yciG
trpLEDCBA	trpA
trpLEDCBA	trpA
trpLEDCBA	trpA
trpLEDCBA	trpA
trpLEDCBA	trpCBA
trpLEDCBA	trpLEDCBA
trpLEDCBA	trpL
yciVOQ	yciVOQ
sohB	sohB
sohB	sohB
yciN	yciN
yciN	yciN
yciN	yciN
topA	topA
yciN	yciN
yciN	yciN
topA	topA
topA	topA
topA	topA
topA	topA
cysB	cysB
ymiA-yciX	ymiA-yciX
ymiA-yciX	ymiA-yciX
acnA	acnA
acnA	acnA
acnA	acnA
pgpB	pgpB
pgpB	pgpB
pgpB	pgpB
ribA	ribA
pgpB	pgpB
ribA	ribA
pgpB	pgpB
pgpB	pgpB
yciSM-pyrF-yciH	yciSM-pyrF-yciH
yciSM-pyrF-yciH	pyrF-yciH
osmB	osmB
osmB	osmB
yciZT	yciT
yciZT	yciT
yciZT	yciZT
gmr	gmr
rnb	rnb
rnb	rnb
yciW	yciW
fabI	fabI
ycjD	ycjD
ycjD	ycjD
sapABCDF	sapF
ymjA	ymjA
puuAP	puuP
puuAP	puuAP
puuDRCBE	puuDRCBE
puuDRCBE	puuCBE
pspF	pspF
pspF	pspF
pspABCDE	pspABCDE
pspF	pspF
ycjMNOPQRSTUV-ymjB	ycjMNOPQRSTUV-ymjB
ycjMNOPQRSTUV-ymjB	ycjMNOPQRSTUV-ymjB
ycjW	ycjW
ycjXF-tyrR	ycjXF-tyrR
ycjXF-tyrR	tyrR
tpx	tpx
ycjG	ycjG
ycjY-ymjDC-mpaA	mpaA
ycjY-ymjDC-mpaA	mpaA
pgrR	pgrR
ycjY-ymjDC-mpaA	ycjY
ycjY-ymjDC-mpaA	ycjY-ymjDC-mpaA
mppA	mppA
mppA	mppA
mppA	mppA
mppA	mppA
insH-4	insH-4
ynaI	ynaI
uspE	uspE
fnr	fnr
abgABT-ogt	ogt
mcaS	mcaS
smrA	smrA
ydaN	ydaN
fnrS	fnrS
C0343-dbpA	C0343-dbpA
ttcA	ttcA
recET-lar-rcbA-ydaQ-intR	intR
racC	racC
racC	racC
kilR-ydaE	ydaE
ydaSTUVW-rzpR	ydaSTUVW-rzpR
racR	racR
racR	racR
ydaSTUVW-rzpR	ydaSTUVW-rzpR
ydaSTUVW-rzpR	ydaSTUVW-rzpR
ydaSTUVW-rzpR	ydaSTUVW-rzpR
racR	racR
trkG	trkG
trkG	trkG
trkG	trkG
ynaK-ydaY	ynaK-ydaY
ynaK-ydaY	ynaK-ydaY
ynaK-ydaY	ynaK-ydaY
ynaK-ydaY	ynaK-ydaY
insH-5	insH-5
pinR	pinR
uspF	uspF
ydbK-ompN	ompN
ydbK-ompN	ompN
ydbK-ompN	ompN
micC	micC
ydbK-ompN	ydbK
ydbK-ompN	ydbK-ompN
ydbK-ompN	ydbK-ompN
ydbJ	ydbJ
ydbJ	ydbJ
hslJ	hslJ
ydbH-ynbE-ydbL	ydbH-ynbE-ydbL
ldhA	ldhA
feaR	feaR
feaR	feaR
feaR	feaR
feaB	feaB
feaR	feaR
feaB	feaB
tynA	tynA
tynA	tynA
paaZ	paaZ
paaABCDEFGHIJK	paaABCDEFGHIJK
paaXY	paaXY
ydbC	ydbC
ydbD	ydbD
ynbABCD	ynbABCD
ynbABCD	ynbABCD
azoR	azoR
azoR	azoR
azoR	azoR
azoR	azoR
ydcF	ydcF
ydcF	ydcF
aldA	aldA
cybB	cybB
cybB	cybB
cybB	cybB
rydC	rydC
ydcA	ydcA
ydcA	ydcA
sokB	sokB
mokB	mokB
trg	trg
ydcI	ydcI
ydcJ	ydcJ
ydcI	ydcI
ydcJ	ydcJ
opgD	opgD
opgD	opgD
opgD	opgD
opgD	opgD
rimL	rimL
tehAB	tehAB
ydcK	ydcK
ydcL	ydcL
ydcL	ydcL
ydcL	ydcL
ydcL	ydcL
ydcL	ydcL
ydcN	ydcN
ydcP	ydcP
hicAB	hicAB
ydcR	ydcR
ydcSTUV-patD	ydcSTUV-patD
ydcSTUV-patD	ydcSTUV-patD
ydcSTUV-patD	ydcSTUV-patD
ydcSTUV-patD	patD
ydcSTUV-patD	patD
ydcX	ydcX
ydcX	ydcX
yncL	yncL
ydcX	ydcX
ydcY	ydcY
mnaT-ydcZ	ydcZ
curA	curA
mcbR	mcbR
yncE	yncE
yncD	yncD
ansP	ansP
ansP	ansP
yncG	yncG
pptA	pptA
pptA	pptA
nhoA	nhoA
yddE	yddE
narZYWV	narWV
narZYWV	narZYWV
narU	narU
narU	narU
yddLKJ	yddJ
yddLKJ	yddJ
yddLKJ	yddJ
yddLKJ	yddJ
yddLKJ	yddJ
yddG	yddG
fdnGHI	fdnGHI
adhP	adhP
maeA	maeA
maeA	maeA
bdm-sra	sra
bdm-sra	bdm-sra
osmC	osmC
osmC	osmC
ddpXABCDF	ddpXABCDF
ddpXABCDF	ddpXABCDF
ddpXABCDF	ddpXABCDF
dosCP	dosP
yddW	yddW
gadBC	gadC
gadBC	gadC
gadBC	gadC
gadBC	gadBC
yddAB	yddB
ydeN	ydeN
ydeN	ydeN
safA-ydeO	safA-ydeO
ydeP	ydeP
ydeTSR	ydeR
hipBA	hipBA
lsrRK	lsrRK
lsrACDBFG-tam	lsrACDBFG-tam
lsrACDBFG-tam	tam
yneE	yneE
yneE	yneE
uxaB	uxaB
uxaB	uxaB
yneF	yneF
yneJ	yneJ
yneJ	yneJ
sad	sad
yneK	yneK
yneK	yneK
ydeA	ydeA
marC	marC
marRAB	marRAB
ydeE	ydeE
ydeE	ydeE
yneM	yneM
mgrR	mgrR
dgcZ	dgcZ
ydeI	ydeI
ydeI	ydeI
ydeI	ydeI
ydeJ	ydeJ
dcp	dcp
ydfG	ydfG
ydfH	ydfH
ydfK	ydfK
ydfK	ydfK
pinQ	pinQ
nohA-ydfN-tfaQ	tfaQ
nohA-ydfN-tfaQ	nohA-ydfN-tfaQ
ynfO-ydfO	ynfO-ydfO
gnsB	gnsB
ynfN	ynfN
ynfN	ynfN
cspI	cspI
cspI	cspI
cspF	cspF
cspB	cspB
cspF	cspF
cspF	cspF
rem	rem
rem	rem
relBE-hokD	relBE-hokD
flxA	flxA
dicC-ydfXW	dicC-ydfXW
ydfABC	ydfABC
ydfABC	ydfABC
dicB-ydfDE-insD-intQ	dicB-ydfDE-insD-intQ
ynfA	ynfA
ynfA	ynfA
ynfA	ynfA
ynfB-speG	ynfB-speG
ynfD	ynfD
ynfC	ynfC
ynfEFGH-dmsD	ynfEFGH-dmsD
mlc-ynfK	ynfK
mlc-ynfK	ynfK
mlc-ynfK	mlc-ynfK
mlc-ynfK	mlc
ynfM	ynfM
ynfM	ynfM
ynfL	ynfL
ynfM	ynfM
asr	asr
ydgD	ydgD
ydgD	ydgD
tqsA	tqsA
pntAB	pntB
pntAB	pntAB
ydgH	ydgH
ydgC	ydgC
rstAB	rstAB
tus	tus
fumAC	fumC
fumAC	fumC
fumAC	fumA
fumAC	fumAC
manA	manA
ydgA	ydgA
uidABC	uidC
uidABC	uidC
uidABC	uidABC
uidR	uidR
hdhA	hdhA
malI	malI
malXY	malXY
add	add
ydgJ	ydgJ
blr	blr
cnu	cnu
cnu	cnu
cnu	cnu
cnu	cnu
ydgK-rsxABCDGE-nth	ydgK-rsxABCDGE-nth
ydgK-rsxABCDGE-nth	rsxABCDGE-nth
tppB	tppB
gstA	gstA
pdxH-tyrS-pdxY	tyrS-pdxY
pdxH-tyrS-pdxY	tyrS-pdxY
pdxH-tyrS-pdxY	pdxH-tyrS-pdxY
anmK	anmK
slyB	slyB
slyB	slyB
slyA	slyA
slyA	slyA
ydhIJK	ydhIJK
slyA	slyA
sodC	sodC
ydhF	ydhF
ydhF	ydhF
ydhL	ydhL
nemRA-gloA	nemRA
nemRA-gloA	nemRA-gloA
nemRA-gloA	gloA
rnt-lhr	lhr
grxD	grxD
mepH	mepH
sodB	sodB
purR	purR
ydhB	ydhB
ydhC	ydhC
ydhC	ydhC
ydhC	ydhC
cfa	cfa
cfa	cfa
mdtK	mdtK
mdtK	mdtK
ribC	ribC
ydhQ	ydhQ
valVW	valVW
ydhS	ydhS
ydhS	ydhS
ydhS	ydhS
ydhYVWXUT	ydhT
ydhYVWXUT	ydhYVWXUT
ydhZ	ydhZ
ydhZ	ydhZ
pykF	pykF
pykF	pykF
pykF	pykF
pykF	pykF
lpp	lpp
lpp	lpp
ynhG	ynhG
ynhG	ynhG
sufABCDSE	sufE
sufABCDSE	sufABCDSE
rydB	rydB
rydB	rydB
ydiJ-menI-ydiH	ydiH
ydiJ-menI-ydiH	ydiH
rprA	rprA
ydiM	ydiM
ydiM	ydiM
ydiNB-aroD	ydiNB-aroD
ydiP	ydiP
ppsA	ppsA
ppsR	ppsR
ppsR	ppsR
ppsR	ppsR
aroH	aroH
aroH	aroH
ydiE	ydiE
ydiU	ydiU
ydiV	ydiV
nlpC	nlpC
nlpC	nlpC
thrS-infC-rpmI-rplT-pheMST-ihfA	ihfA
thrS-infC-rpmI-rplT-pheMST-ihfA	pheMST-ihfA
thrS-infC-rpmI-rplT-pheMST-ihfA	pheM
thrS-infC-rpmI-rplT-pheMST-ihfA	rplT
thrS-infC-rpmI-rplT-pheMST-ihfA	rplT-pheM
thrS-infC-rpmI-rplT-pheMST-ihfA	rpmI-rplT
thrS-infC-rpmI-rplT-pheMST-ihfA	infC-rpmI-rplT
thrS-infC-rpmI-rplT-pheMST-ihfA	infC
thrS-infC-rpmI-rplT-pheMST-ihfA	thrS-infC
thrS-infC-rpmI-rplT-pheMST-ihfA	thrS-infC-rpmI-rplT-pheMST-ihfA
yniD	yniD
ydiY	ydiY
ydiY	ydiY
ydiY	ydiY
pfkB	pfkB
pfkB	pfkB
yniA	yniA
yniA	yniA
yniA	yniA
yniB	yniB
yniC	yniC
ydjM	ydjM
ydjO	ydjO
ydjO	ydjO
ydjO	ydjO
ydjO	ydjO
cedA	cedA
katE	katE
chbBCARFG	chbG
chbBCARFG	chbG
chbBCARFG	chbBCARFG
osmE	osmE
nadE	nadE
cho	cho
ves	ves
spy	spy
astCADBE	astE
astCADBE	astCADBE
astCADBE	astCADBE
astCADBE	astCADBE
xthA	xthA
ydjXYZ-ynjABCD	ydjXYZ-ynjABCD
ydjXYZ-ynjABCD	ydjXYZ-ynjABCD
ynjE	ynjE
ynjF	ynjF
nudG	nudG
ynjF	ynjF
ynjH	ynjH
ynjH	ynjH
gdhA	gdhA
ynjI	ynjI
ynjI	ynjI
ynjI	ynjI
ydjA-selD-topB	selD-topB
ydjA-selD-topB	selD-topB
ydjA-selD-topB	ydjA-selD-topB
sppA	sppA
ydjE	ydjE
ydjE	ydjE
ydjF	ydjF
ydjF	ydjF
gapA-yeaD	gapA
gapA-yeaD	gapA
msrB	msrB
gapA-yeaD	gapA
msrB	msrB
gapA-yeaD	gapA
gapA-yeaD	gapA-yeaD
gapA-yeaD	gapA
yeaE	yeaE
mipA	mipA
yeaGH	yeaGH
yeaGH	yeaGH
yeaI	yeaI
yeaI	yeaI
yeaJ	yeaJ
yeaL	yeaL
yeaN	yeaN
yeaM	yeaM
yeaM	yeaM
yeaN	yeaN
yeaO	yeaO
yeaO	yeaO
yeaP	yeaP
yeaP	yeaP
yoaF	yoaF
yeaQ	yeaQ
yeaQ	yeaQ
yeaR-yoaG	yeaR-yoaG
leuE	leuE
leuE	leuE
dmlA	dmlA
dmlR	dmlR
rnd	rnd
fadD-sroD	fadD-sroD
tsaB-yeaY	yeaY
yoaB	yoaB
yoaB	yoaB
yoaC	yoaC
yoaC	yoaC
yoaC	yoaC
pabB-nudL	pabB-nudL
pabB-nudL	pabB-nudL
yoaH	yoaH
sdaA	sdaA
yoaE	yoaE
manXYZ	manXYZ
mntP	mntP
rlmA	rlmA
yobF-cspC	cspC
yobF-cspC	yobF-cspC
yobF-cspC	yobF-cspC
mgrB	mgrB
yobH	yobH
kdgR	kdgR
kdgR	kdgR
yebQ	yebQ
yebQ	yebQ
kdgR	kdgR
htpX	htpX
proQ-prc	prc
yebST	yebST
yebST	yebST
yebV	yebV
yebV	yebV
yebV	yebV
yebV	yebV
yebW	yebW
yebW	yebW
ryeA	ryeA
pphA	pphA
holE	holE
holE	holE
holE	holE
yobB-exoX	yobB-exoX
yobB-exoX	yobB-exoX
ptrB	ptrB
yebE	yebE
purT	purT
yebG	yebG
purT	purT
edd-eda	eda
edd-eda	eda
edd-eda	eda
edd-eda	edd-eda
zwf	zwf
yebK	yebK
pykA	pykA
pykA	pykA
lpxM	lpxM
mepM	mepM
mepM	mepM
mepM	mepM
znuCB	znuCB
znuA	znuA
ruvAB	ruvB
ruvAB	ruvB
ruvAB	ruvB
ruvAB	ruvB
ruvAB	ruvB
ruvAB	ruvB
ruvAB	ruvAB
ruvAB	ruvAB
ruvAB	ruvAB
ruvAB	ruvAB
yebB	yebB
yebB	yebB
nudB-yebC-ruvC	ruvC
nudB-yebC-ruvC	yebC-ruvC
nudB-yebC-ruvC	nudB-yebC-ruvC
aspS	aspS
yecDE	yecDE
aspS	aspS
yecDE	yecDE
yecDE	yecDE
cutC	cutC
cutC	cutC
yecM	yecM
yecM	yecM
argS	argS
yecT	yecT
flhBAE	flhBAE
tar-tap-cheRBYZ	tar-tap-cheRBYZ
motAB-cheAW	cheW
motAB-cheAW	motAB-cheAW
flhDC	flhC
flhDC	flhDC
flhDC	flhDC
insAB-5A-5B-5	insA-5AB-5B-5
uspC	uspC
uspC	uspC
uspC	uspC
uspC	uspC
uspC	uspC
uspC	uspC
otsBA	otsA
otsBA	otsBA
otsBA	otsBA
araFGH	araH
araFGH	araFGH
araFGH	araFGH
ftnB	ftnB
ftnB	ftnB
yecJ	yecJ
azuC	azuC
yecR	yecR
ftnA	ftnA
tyrP	tyrP
yecH	yecH
tyrP	tyrP
yecH	yecH
glyW-cysT-leuZ	cysT-leuZ
glyW-cysT-leuZ	glyW-cysT-leuZ
uvrYC	uvrC
uvrYC	uvrYC
yecF	yecF
sdiA	sdiA
sdiA	sdiA
sdiA	sdiA
sdiA	sdiA
sdiA	sdiA
sdiA	sdiA
dcyD-yecSC	yecC
dcyD-yecSC	dcyD-yecSC
fliAZY	fliAZY
fliAZY	fliAZY
fliC	fliC
fliDST	fliDST
amyA	amyA
yedEF	yedEF
yedD	yedD
fliE	fliE
fliE	fliE
fliFGHIJK	fliFGHIJK
fliFGHIJK	fliFGHIJK
fliLMNOPQR	fliLMNOPQR
fliLMNOPQR	fliLMNOPQR
rcsA	rcsA
dsrB	dsrB
dsrA	dsrA
yodC	yodC
yodC	yodC
yedI	yedI
yedI	yedI
yedRJ	yedJ
yedRJ	yedJ
rseX	rseX
hchA	hchA
hchA	hchA
yedWV	yedV
yedX	yedX
yedYZ	yedYZ
zinT	zinT
yodB	yodB
yodB	yodB
yodB	yodB
yodB	yodB
serU	serU
mtfA	mtfA
asnT	asnT
yeeJ	yeeJ
shiA	shiA
shiA	shiA
amn	amn
yeeN	yeeN
yeeN	yeeN
yeeO	yeeO
yeeO	yeeO
asnU	asnU
yeeO	yeeO
cbl	cbl
nac	nac
asnV	asnV
erfK	erfK
cobUST	cobT
cobUST	cobUST
cobUST	cobUST
insH-6	insH-6
insH-6	insH-6
flu	flu
flu	flu
flu	flu
yeeX	yeeX
yeeA	yeeA
sbmC	sbmC
sbmC	sbmC
sbcB	sbcB
yeeED	yeeED
plaP	plaP
yeeZ	yeeZ
yeeZ	yeeZ
yefM-yoeB	yefM-yoeB
hisLGDCBHAFI	hisLGDCBHAFI
hisLGDCBHAFI	hisL
hisLGDCBHAFI	hisBHAFI
wzzB	wzzB
wzzB	wzzB
wzzB	wzzB
wzzB	wzzB
ugd	ugd
gnd	gnd
insH-7	insH-7
insH-7	insH-7
insH-7	insH-7
wbbIJK	wbbK
glf-wbbH	wbbH
glf-wbbH	wbbH
glf-wbbH	wbbH
glf-wbbH	wbbH
rfbBDACX	rfbX
rfbBDACX	rfbX
rfbBDACX	rfbX
rfbBDACX	rfbX
galF	galF
wcaKLM	wcaM
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	wzxC
wza-wzb-wzc-wcaAB	wza-wzb-wzc
wza-wzb-wzc-wcaAB	wza-wzb-wzc-wcaAB
yegH	yegH
alkA	alkA
yegD	yegD
yegI	yegI
yegJ	yegJ
yegJ	yegJ
yegI	yegI
yegI	yegI
sibA	sibA
sibB	sibB
mdtABCD-baeSR	mdtABCD-baeSR
yegQ	yegQ
cyaR	cyaR
ogrK	ogrK
yegRZ	yegRZ
yegS	yegS
yegS	yegS
yegS	yegS
yegS	yegS
gatYZABCD	gatZABCD
gatYZABCD	gatYZABCD
fbaB	fbaB
yegTUV	yegTUV
yegX	yegX
yegX	yegX
thiMD	thiD
thiMD	thiMD
rcnAB	rcnAB
rcnR	rcnR
rcnAB	rcnB
yehDCBA	yehA
yehE	yehE
yehE	yehE
yehE	yehE
mrp	mrp
mrp	mrp
metG	metG
molR_1	molR_1
yehK	yehK
yehLMPQ	yehLMPQ
mlrA	mlrA
mlrA	mlrA
mlrA	mlrA
yohO	yohO
osmF-yehYXW	osmF-yehYXW
dld	dld
bglX	bglX
dld	dld
pbpG	pbpG
pbpG	pbpG
yohC	yohC
yohC	yohC
yohD	yohD
dusC	dusC
yohJK	yohJK
yohJK	yohJK
cdd	cdd
sanA-yeiS	sanA-yeiS
preTA	preTA
mglBAC	mglC
mglBAC	mglC
mglBAC	mglC
mglBAC	mglAC
mglBAC	mglBAC
galS	galS
folE-yeiB	yeiB
folE-yeiB	folE-yeiB
yeiG	yeiG
cirA	cirA
cirA	cirA
lysP	lysP
yeiE	yeiE
yeiE	yeiE
yeiH	yeiH
yeiE	yeiE
nfo	nfo
yeiI	yeiI
rihB	rihB
yeiL	yeiL
psuT	psuT
psuKG	psuG
fruBKA	fruBKA
setB	setB
setB	setB
yeiW	yeiW
yeiW	yeiW
yeiP	yeiP
yeiW	yeiW
yeiQ	yeiQ
yeiQ	yeiQ
yeiR-lpxT	yeiR-lpxT
mepS	mepS
rtn	rtn
yejABEF	yejABEF
yejG	yejG
yejG	yejG
rsuA	rsuA
rsuA	rsuA
yejH	yejH
rplY	rplY
rplY	rplY
rplY	rplY
yejK	yejK
proL	proL
yejO	yejO
narP	narP
napFDAGHBC-ccmABCDEFGH	ccmH
napFDAGHBC-ccmABCDEFGH	napFDAGHBC-ccmABCDEFGH
napFDAGHBC-ccmABCDEFGH	napFDAGHBC-ccmABCDEFGH
napFDAGHBC-ccmABCDEFGH	napFDAGHBC
eco	eco
eco	eco
mqo	mqo
mqo	mqo
mqo	mqo
yojI	yojI
ada-alkB	alkB
ada-alkB	ada-alkB
apbE	apbE
ompC	ompC
ompC	ompC
ompC	ompC
micF	micF
rcsDB	rcsDB
rcsDB	rcsB
rcsDB	rcsB
rcsC	rcsC
rcsC	rcsC
atoDAEB	atoDAEB
yfaATS_1S_2QP	yfaP
gyrA	gyrA
ubiG	ubiG
yfaL	yfaL
yfaL	yfaL
yfaL	yfaL
yfaL	yfaL
nrdAB-yfaE	nrdAB-yfaE
nrdAB-yfaE	yfaE
nrdAB-yfaE	yfaE
inaA	inaA
glpTQ	glpTQ
glpABC	glpABC
yfaD-ypaA	yfaD-ypaA
yfaXWVU	yfaU
yfaY	yfaY
yfaZ	yfaZ
yfaZ	yfaZ
nudI	nudI
ais	ais
ais	ais
ais	ais
pmrD	pmrD
pmrD	pmrD
menFDHBCE	menBCE
rbn	rbn
elaA	elaA
elaA	elaA
elaD	elaD
yfbL	yfbL
yfbL	yfbL
yfbL	yfbL
yfbK	yfbK
yfbL	yfbL
yfbL	yfbL
yfbK	yfbK
yfbO	yfbO
yfbO	yfbO
yfbN	yfbN
yfbO	yfbO
yfbN	yfbN
yfbP	yfbP
nuoABCEFGHIJKLMN	nuoN
nuoABCEFGHIJKLMN	nuoABCEFGHIJKLMN
nuoABCEFGHIJKLMN	nuoABCEFGHIJKLMN
lrhA	lrhA
alaA-yfbR	alaA
alaA-yfbR	alaA-yfbR
alaA-yfbR	yfbR
alaA-yfbR	yfbR
ackA-pta	ackA
yfcI	yfcI
yfcI	yfcI
argT-hisJQMP	hisJQMP
argT-hisJQMP	argT-hisJQMP
cvpA-purF-ubiX	cvpA-purF-ubiX
cvpA-purF-ubiX	cvpA-purF-ubiX
folC-dedD	dedD
folC-dedD	dedD
accD	accD
pdxB-usg-truA-dedA	dedA
pdxB-usg-truA-dedA	usg-truA-dedA
pdxB-usg-truA-dedA	pdxB-usg-truA-dedA
flk	flk
yfcJ	yfcJ
fabB	fabB
prmB-aroC-mepA-yfcA-epmC-yfcL	yfcL
smrB	smrB
smrB	smrB
yfcV	yfcV
yfcV	yfcV
yfcV	yfcV
yfcV	yfcV
sixA	sixA
fadIJ	fadIJ
yfcZ	yfcZ
fadL	fadL
yfdF	yfdF
yfdF	yfdF
yfdF	yfdF
yfdF	yfdF
mlaA	mlaA
argW	argW
intS	intS
intS	intS
yfdGHI	yfdGHI
yfdPQ	yfdPQ
yfdPQ	yfdPQ
yfdPQ	yfdPQ
dsdC	dsdC
dsdXA	dsdXA
dsdXA	dsdA
emrKY	emrY
emrKY	emrKY
evgAS	evgAS
evgAS	evgAS
yfdX-frc-oxc-yfdVE	oxc
yfdX-frc-oxc-yfdVE	oxc
yfdX-frc-oxc-yfdVE	frc
yfdX-frc-oxc-yfdVE	yfdX-frc-oxc-yfdVE
ypdI	ypdI
yfdY	yfdY
yfdY	yfdY
lpxP	lpxP
alaC	alaC
fryBC-ypdFE-fryA	fryA
glk	glk
yfeO	yfeO
glk	glk
mntH	mntH
nupC	nupC
insL-3	insL-3
yfeA	yfeA
yfeA	yfeA
alaWX	alaWX
alaWX	alaWX
alaWX	alaWX
alaWX	alaWX
yfeCD	yfeCD
yfeCD	yfeCD
yfeCD	yfeCD
yfeCD	yfeCD
gltX	gltX
gltX	gltX
gltX	gltX
valUXY-lysV	valUXY-lysV
xapR	xapR
xapR	xapR
xapR	xapR
xapR	xapR
xapAB	xapAB
yfeH	yfeH
yfeH	yfeH
yfeR	yfeR
ligA-ypeB	ligA-ypeB
cysZ	cysZ
zipA	zipA
cysK	cysK
cysK	cysK
ptsHI-crr	ptsHI-crr
ptsHI-crr	ptsHI-crr
ptsHI-crr	ptsHI-crr
ptsHI-crr	ptsHI-crr
ptsHI-crr	ptsHI-crr
ptsHI-crr	crr
ptsHI-crr	crr
yfeKS	yfeKS
pdxK	pdxK
cysPUWAM	cysPUWAM
ucpA	ucpA
ucpA	ucpA
murQP-yfeW	murQP
murQP-yfeW	murQP
murR	murR
yfeYX	yfeX
yfeYX	yfeX
yfeYX	yfeYX
ypeA-yfeZ	yfeZ
amiA-hemF	amiA-hemF
amiA-hemF	hemF
intZ	intZ
yffOP	yffOP
yffOP	yffOP
yffOP	yffOP
yffOP	yffOP
yffQR	yffQR
yffQR	yffQR
yffS	yffS
talA-tktB	talA-tktB
talA-tktB	talA-tktB
talA-tktB	talA
talA-tktB	tktB
ypfG	ypfG
ypfG	ypfG
narQ	narQ
acrD	acrD
acrD	acrD
ypfM	ypfM
ypfM	ypfM
yffB-dapE-ypfN	dapE-ypfN
ypfJ-tmcA	tmcA
purC	purC
dapA-bamC	bamC
dapA-bamC	dapA-bamC
gcvR	gcvR
bcp	bcp
hyfABCDEFGHIJR-focB	hyfABCDEFGHIJR-focB
bepA-yfgD	bepA-yfgD
bepA-yfgD	bepA-yfgD
upp-uraA	upp-uraA
purMN	purMN
ppk-ppx	ppk-ppx
ppk-ppx	ppk-ppx
ppk-ppx	ppk-ppx
yfgF	yfgF
yfgG	yfgG
yfgG	yfgG
yfgG	yfgG
yfgG	yfgG
yfgHI	yfgHI
guaBA	guaBA
xseA	xseA
bamB-der	bamB-der
yfgM	yfgM
yfgM	yfgM
yfgM	yfgM
hisS	hisS
ispG-sroE	ispG-sroE
ispG-sroE	ispG-sroE
ispG-sroE	ispG-sroE
rodZ	rodZ
rodZ	rodZ
ndk	ndk
yfhM-pbpC	pbpC
yfhM-pbpC	pbpC
yfhM-pbpC	yfhM-pbpC
sseA	sseA
ryfA	ryfA
hscBA-fdx-iscX	iscX
hscBA-fdx-iscX	hscBA-fdx-iscX
iscRSUA	iscA
iscRSUA	iscA
iscRSUA	iscRSUA
yfhR	yfhR
yfhR	yfhR
csiE	csiE
hcaT	hcaT
hcaT	hcaT
hcaT	hcaT
hcaR	hcaR
hcaEFCBD	hcaEFCBD
yphCB	yphB
yphCB	yphB
glyA	glyA
hmp	hmp
glrR-glnB	glnB
glrR-glnB	glnB
glrR-glnB	glnB
glrK	glrK
glmY	glmY
glmY	glmY
purL	purL
mltF	mltF
pgpC-tadA	pgpC-tadA
yfhH	yfhH
ohsC	ohsC
rnc-era-recO-pdxJ-acpS	acpS
rnc-era-recO-pdxJ-acpS	acpS
rnc-era-recO-pdxJ-acpS	pdxJ-acpS
rnc-era-recO-pdxJ-acpS	rnc-era
rnc-era-recO-pdxJ-acpS	rnc-era-recO-pdxJ-acpS
lepAB	lepB
lepAB	lepAB
rpoE-rseABC	rseABC
rpoE-rseABC	rpoE-rseABC
rpoE-rseABC	rpoE-rseABC
nadB	nadB
yfiC	yfiC
srmB	srmB
yfiE	yfiE
grcA	grcA
ung	ung
trxC	trxC
yfiP-pka	pka
pssA	pssA
pssA	pssA
yfiM	yfiM
kgtP	kgtP
kgtP	kgtP
kgtP	kgtP
rrsG-gltW-rrlG-rrfG	rrsG-gltW-rrlG-rrfG
rrsG-gltW-rrlG-rrfG	rrsG-gltW-rrlG-rrfG
clpB	clpB
ryfD	ryfD
bamD	bamD
bamD	bamD
raiA	raiA
pheLA	pheLA
aroF-tyrA	aroF-tyrA
yfiL	yfiL
yfiL	yfiL
yfiL	yfiL
yfiRNB	yfiRN
yfiRNB	yfiRN
yfiRNB	yfiRN
yfiRNB	yfiRNB
yfiRNB	yfiRN
rpsP-rimM-trmD-rplS	rplS
rpsP-rimM-trmD-rplS	rpsP-rimM-trmD-rplS
ypjD	ypjD
ffh	ffh
ypjD	ypjD
grpE	grpE
nadK	nadK
recN	recN
bamE	bamE
smpB	smpB
ssrA	ssrA
ssrA	ssrA
yfjH	yfjH
yfjH	yfjH
yfjI	yfjI
yfjI	yfjI
yfjI	yfjI
yfjI	yfjI
yfjJ	yfjJ
rnlAB	rnlAB
rnlAB	rnlA
yfjM	yfjM
rnlAB	rnlB
rnlAB	rnlB
yfjPQ	yfjPQ
yfjPQ	yfjPQ
yfjPQ	yfjPQ
yfjW	yfjW
yfjXY-ypjJ-yfjZ-ypjF	yfjXY-ypjJ-yfjZ-ypjF
ypjA	ypjA
ypjB	ypjB
csiD-lhgO-gabDTP	csiD-lhgO-gabDTP
csiD-lhgO-gabDTP	gabDTP
csiD-lhgO-gabDTP	gabDTP
csiR	csiR
csiR	csiR
ygaU	ygaU
yqaE	yqaE
stpA	stpA
stpA	stpA
stpA	stpA
alaE	alaE
alaE	alaE
ygaM	ygaM
ygaC	ygaC
nrdHIEF	nrdHIEF
proVWX	proVWX
