TU	Promoter
clpA	clpAp1
clpA	clpAp2
clpA	clpAp3
clpB	clpBp
clpPX	clpPp1
clpPX	clpPp2
clpPX	clpPp3
clpS	clpSp6
clpS	clpSp7
clpX-lon	clpXp
clsA-yciU	clsAp
clsC	clsCp
cmk-rpsA	cmkp
mdfA	cmrp
mdfA	cmrp2
cnu	cnup10
cnu	cnup7
cnu	cnup8
cnu	cnup9
coaA	coaAp
cobC	cobCp6
cobC	cobCp7
cobT	cobTp8
cobUST	cobUp1
cobUST	cobUp2
codBA	codBp
ymfK	cohEp10
ymfK	cohEp8
ymfK	cohEp9
comR	comRp
comR	comRp3
copA	copAp
corA	corAp
cpdB	cpdBp
sdhE-cptA	cptBp
cpxA	cpxAp1
cpxP	cpxPp
cpxRA	cpxRp
crcB	crcBp3
crcB	crcBp4
creABCD	creAp
creABC	creAp2
creD	creDp
crl	crlp1
crl	crlp2
ymfTLMNROPQ-ycfK-ymfS	croEp4
ymfTLMNROPQ-ycfK-ymfS	croEp5
crp	crpp1
crp	crpp2
crp	crpp3
crr	crrp2
crr	crrpI
csdAE	csdAp3
csgBAC	csgBp
csgC	csgCp
csgDEFG	csgDp1
csgDEFG	csgDp2
csgG	csgGp1
csiD-lhgO-gabDTP	csiDp
csiE	csiEp
csiR	csiRp3
csiR	csiRp5
cspA	cspAp1
cspA	cspAp2
cspB	cspBp
cspC	cspCp8
cspD	cspDp
cspE	cspEp1
cspE	cspEp2
cspF	cspFp6
cspF	cspFp7
cspF	cspFp8
cspG	cspGp
cspH	cspHp10
cspH	cspHp12
cspH	cspHp13
cspH	cspHp14
cspH	cspHp15
cspH	cspHp8
cspH	cspHp9
cspI	cspIp
cspI	cspIp2
csrA	csrAp1
csrA	csrAp2
csrA	csrAp3
csrA	csrAp4
csrA	csrAp5
csrB	csrBp
csrC	csrCp
csrD	csrDp4
cstA	cstAp1
cstA	cstAp2
cstA	cstAp3
cueO	cueOp
cueR	cueRp6
