TU	Promoter
lysR	lysRp
lysT-valT-lysW	lysTp
lysU	lysUp1
lysU	lysUp2
macB	macBp1
macB	macBp2
maeA	maeAp3
maeA	maeAp4
mak	makp4
malEFG	malEp
malI	malIp
malK-lamB-malM	malKp
malPQ	malPp
malQ	malQp
malS	malSp
malT	malTp
malXY	malXp
malZ	malZp
manA	manAp
manXYZ	manXp
marC	marCp
marRAB	marRp
ecpR	matAp1
ecpR	matAp10
ecpR	matAp5
ecpR	matAp7
ecpR	matAp9
ecpA	matBp5
ecpBCDE	matCp1
ecpBCDE	matCp2
matP	matPp
mazEFG	mazEp1
mazEFG	mazEp2
mazG	mazGp4
mcaS	mcaSp
mcbA	mcbAp5
mcbR	mcbRp3
mcrA	mcrAp10
mcrA	mcrAp7
mcrA	mcrAp8
mcrA	mcrAp9
mcrC	mcrCp5
mdaB	mdaBp1
mdaB	mdaBp5
mdaB	mdaBp7
mdh	mdhp1
mdh	mdhp2
opgGH	mdoGp1
opgGH	mdoGp2
mdtABCD-baeSR	mdtAp
mdtEF	mdtEp1
mdtEF	mdtEp2
mdtEF	mdtEp3
mdtK	mdtKp10
mdtK	mdtKp9
mdtP	mdtPp6
melAB	melAp
melR	melRp
menA-rraA	menAp
menA-rraA	menAp1
menBCE	menBp
menDHBCE	menDp
mepS	mepSp
metA	metAp1
metA	metAp2
metBL	metBp
metC	metCp
metE	metEp
metF	metFp
metG	metGp
metH	metHp
metH	metHp2
metJ	metJp1
metJ	metJp2
metJ	metJp3
metK	metKp
metNIQ	metNp
metR	metRp1
metR	metRp2
metT-leuW-glnUW-metU-glnVX	metTp
metY	metYp1
metY-rimP-nusA-infB	metYp1
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	metYp1
metY	metYp2
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	metYp2
metZWV	metZp
mfd	mfdp1
mfd	mfdp2
mglAC	mglAp
mglBAC	mglBp
mglC	mglCp5
mglC	mglCp6
mglC	mglCp9
mgrB	mgrBp
mgrR	mgrRp
mgsA	mgsAp
mgtLA	mgtAp1
mgtLA	mgtAp2
mhpABCDFE	mhpAp
mhpR-lacI	mhpRp
mhpR-lacI	mhpRp1
mhpT	mhpTp
miaA-hfq-hflXKC	miaAp1
miaA-hfq-hflXKC	miaAp2
micA	micAp
micC	micCp
micF	micFp
micM	micMp
minE	minEp3
mioC	mioCp
mipA	mipAp
mlaA	mlaAp
mlc	mlcp1
mlc-ynfK	mlcp2
mlrA	mlrAp
mlrA	mlrAp6
mlrA	mlrAp9
mltA	mltAp6
mltD	mltDp3
mltD	mltDp4
mltF	mltFp
mmuPM	mmuPp1
mmuPM	mmuPp2
mmuPM	mmuPp5
mmuPM	mmuPp6
mmuPM	mmuPp7
mngAB	mngAp
mngR	mngRp
mnmA	mnmAp
mnmG-rsmG	mnmGp
mntH	mntHp
mntP	mntPp
mntR-ybiR	mntRp
mntR-ybiR	mntRp4
mntR-ybiR	mntRp5
mntR-ybiR	mntRp6
moaABCDE	moaAp1
moaABCDE	moaAp2
moaBCDE	moaBp
mobAB	mobAp1
mobAB	mobAp2
mocA	mocAp9
modABC	modAp
modABC	modAp1
moeAB	moeAp
mokB	mokBp3
molR_1	molR_1p
motAB-cheAW	motAp
mpaA	mpaAp2
mpaA	mpaAp4
mpl	mplp1
mpl	mplp2
mppA	mppAp13
mppA	mppAp4
mppA	mppAp5
mppA	mppAp9
mprA-emrAB	mprAp
mqo	mqop1
mqo	mqop5
mqo	mqop8
mqsA	mqsAp8
mqsA	mqsAp9
mqsRA	mqsRp
mqsRA	mqsRp2
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraWp1
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraZp
mrcA	mrcAp
mrcB	mrcBp
mreB	mreBp1
mreBCD	mreBp1
mreB	mreBp2
mreBCD	mreBp2
mreB	mreBp3
mreBCD	mreBp3
mreCD	mreCp
mreD	mreDp2
mrp	mrpp2
mrp	mrpp7
mscL	mscLp
mscS	mscSp
msrA	msrAp
msrB	msrBp5
msrB	msrBp6
msyB	msyBp
mtfA	mtfAp1
mtgA	mtgAp4
mtlADR	mtlAp
mtn-btuF-yadS	mtnp
mtr	mtrp1
mtr	mtrp2
mug	mugp6
murQP	murQp1
murQP	murQp2
murR	murRp
mutH	mutHp5
mutH	mutHp7
mutL-miaA-hfq-hflXKC	mutLp1
mutL-miaA-hfq-hflXKC	mutLp2
mutM	mutMp
mutM	mutMp2
mutS	mutSp
mutY-yggX	mutYp1
mutY-yggX-mltC	mutYp1
mutY-yggX-mltC-nupG	mutYp1
mutY-yggX	mutYp2
mutY-yggX-mltC	mutYp2
mutY-yggX-mltC-nupG	mutYp2
nac	nacp
nadA-pnuC	nadAp
nadB	nadBp
nadC	nadCp
nadE	nadEp
nadK	nadKp2
nagA	nagAp
nagBAC-umpH	nagBp
nagC	nagCp1
nagC	nagCp2
nagE	nagEp
nagK-cobB	nagKp3
nanA	nanAp
nanATEK-yhcH	nanAp
nanCM	nanCp
nanCMS	nanCp
nanR	nanRp10
nanR	nanRp9
nanS	nanSp1
napFDAGHBC-ccmABCDEFGH	napFp1
napFDAGHBC-ccmABCDEFGH	napFp2
napFDAGHBC	napFp3
narGHJI	narGp
narK	narKp1
narK	narKp2
narP	narPp
narQ	narQp
narU	narUp1
narU	narUp2
narWV	narWp
narXL	narXp
narZYWV	narZp
ndh	ndhp
ndk	ndkp4
nemRA	nemRp
nemRA-gloA	nemRp
nepI	nepIp
nfo	nfop
nfsB	nfsBp
nfuA	nfuAp1
nfuA	nfuAp2
nhaAR	nhaAp1
nhaAR	nhaAp2
nhaB	nhaBp7
nhoA	nhoAp2
nikABCDER	nikAp1
nikABCDER	nikAp2
nikR	nikRp
nirBDC-cysG	nirBp
nlpA	nlpAp
nlpC	nlpCp3
nlpC	nlpCp5
nlpD-rpoS	nlpDp1
nlpD-rpoS	nlpDp2
nlpI	nlpIp2
nmpC	nmpCp
nohA-ydfN-tfaQ	nohAp
norR	norRp
norVW	norVp
nrdAB-yfaE	nrdAp
nrdDG	nrdDp
nrdG	nrdGp
nrdHIEF	nrdHp
nrdR-ribDE-nusB-thiL-pgpA	nrdRp
nrfABCDEFG	nrfAp
nsrR-rnr-rlmB-yjfI	nsrRp
nudB-yebC-ruvC	nudBp
nudC-hemE-nfi	nudCp2
nudC-hemE-nfi	nudCp5
nudE	nudEp1
nudE	nudEp6
nudE	nudEp8
nudE	nudEp9
nudG	nudGp3
nudI	nudIp3
nudJ	nudJp6
nuoABCEFGHIJKLMN	nuoAp1
nuoABCEFGHIJKLMN	nuoAp2
nuoMN	nuoMp
nuoN	nuoNp1
nupC	nupCp
nupG	nupGp
ogrK	ogrKp5
ogt	ogtp
ohsC	ohsCp
ompA	ompAp1
ompA	ompAp2
ompC	ompCp1
ompC	ompCp2
ompC	ompCp3
ompF	ompFp
ompL	ompLp1
ompN	ompNp3
ompN	ompNp4
ompN	ompNp6
ompR-envZ	ompRp1
ompR-envZ	ompRp2
ompR-envZ	ompRp3
ompR-envZ	ompRp4
ompT	ompTp
ompW	ompWp
ompX	ompXp1
ompX	ompXp2
omrA	omrAp
omrB	omrBp
opgB	opgBp7
opgD	opgDp4
opgD	opgDp7
opgD	opgDp8
opgD	opgDp9
oppABCDF	oppAp
orn	ornp5
osmB	osmBp1
osmB	osmBp2
osmC	osmCp1
osmC	osmCp2
osmE	osmEp
osmF-yehYXW	osmFp
osmF-yehYXW	osmFp2
osmY	osmYp
otsA	otsAp
otsBA	otsBp
otsBA	otsBp2
oxc	oxcp10
oxc	oxcp11
oxyR	oxyRp
oxyS	oxySp
paaABCDEFGHIJK	paaAp
paaXY	paaXp
paaZ	paaZp
pabA	pabAp1
pabB-nudL	pabBp6
pabB-nudL	pabBp7
pabC-yceG-tmk-holB-ycfH	pabCp1
pabC-yceG-tmk-holB-ycfH	pabCp5
pabC-yceG-tmk-holB-ycfH	pabCp8
pagP	pagPp
panBC	panBp
panC	panCp2
panC	panCp4
panD	panDp
panZ	panZp1
panZ	panZp7
parC	parCp4
patA	patAp
patD	patDp3
patD	patDp4
pbpC	pbpCp1
pbpC	pbpCp2
pbpG	pbpGp5
pbpG	pbpGp7
pck	pckp
pcnB-folK	pcnBp1
pcnB-folK	pcnBp2
pcnB-folK	pcnBp3
pcnB-folK	pcnBp4
pdhR-aceEF-lpd	pdhRp
pdxA-rsmA	pdxAp
pdxA-rsmA-apaGH	pdxAp
pdxB-usg-truA-dedA	pdxBp
pdxH-tyrS-pdxY	pdxHp
pdxJ-acpS	pdxJp
pdxK	pdxKp1
pdxY	pdxYp
pepA	pepAp1
pepA	pepAp2
pepA	pepAp3
pepD	pepDp1
pepD	pepDp2
pepD	pepDp3
pepN	pepNp
pepQ-yigZ-trkH-hemG	pepQp
pepT	pepTp
pfkA	pfkAp1
pfkA	pfkAp2
pfkB	pfkBp1
pfkB	pfkBp2
pflA	pflAp8
pflB	pflBp1
pflB	pflBp2
pflB	pflBp3
pflB	pflBp4
pflB	pflBp5
pflDC	pflDp2
pflDC	pflDp3
pflDC	pflDp4
pgaABCD	pgaAp
pgi	pgip
pgk	pgkp1
pgk-fbaA	pgkp1
pgk	pgkp2
pgk-fbaA	pgkp2
pgk	pgkp3
pgk-fbaA	pgkp3
pgl	pglp2
pgpB	pgpBp4
pgpB	pgpBp5
pgpB	pgpBp6
pgpB	pgpBp7
pgpB	pgpBp8
pgpB	pgpBp9
pgpC-tadA	pgpCp
pgsA	pgsAp
pheLA	pheLp
pheM	pheMp
pheMST-ihfA	pheMp
pheP	phePp
pheU	pheUp
pheV	pheVp
phnCDE_1E_2FGHIJKLMNOP	phnCp
phnLMNOP	phnLp
phoA-psiF	phoAp
phoBR	phoBp
phoE	phoEp
phoH	phoHp1
phoH	phoHp2
phoPQ	phoPp1
phoPQ	phoPp2
phoPQ	phoPp3
phoQ	phoQp5
phoU	phoUp
phoU	phoUp2
phr	phrBp
pinE	pinEp1
pinE	pinEp3
pinQ	pinQp1
pinR	pinRp1
pitA	pitAp
pitB	pitBp
pka	pkap
pldA	pldAp
pldB-yigL	pldBp4
pldB-yigL	pldBp6
plsB	plsBp
plsB	plsBp2
ygiH	plsYp5
pmbA	pmbAp
pmrD	pmrDp3
pmrD	pmrDp4
pncB	pncBp
pncC	pncCp
pnp	pnpp
pntAB	pntAp
pntB	pntBp6
polA	polAp
polB	polBp
potD	potDp5
potD	potDp6
potE	potEp1
potFGHI	potFp1
potFGHI	potFp2
poxB	poxBp
ppa	ppap
ppc	ppcp
ppdAB-ygdB-ppdC-recC	ppdAp
ppdD-hofBC	ppdDp
pphA	pphAp
pphB	pphBp1
ppiA	ppiAp1
ppiA	ppiAp2
ppiA	ppiAp3
ppiA	ppiAp4
ppiC	ppiCp
ppiD	ppiDp1
ppiD	ppiDp2
ppk-ppx	ppkp
ppk-ppx	ppkp5
ppk-ppx	ppkp6
pppA	pppAp3
ppsA	ppsp
ppsR	ppsRp1
ppsR	ppsRp6
ppsR	ppsRp8
pptA	pptAp6
pptA	pptAp7
pqiAB	pqiAp1
pqiAB	pqiAp2
prc	prcp1
prfC	prfCp2
prfC	prfCp4
prkB	prkBp
prlC-rsmJ	prlCp
proBA	proBp11
proBA	proBp8
proC	proCp
proK	proKp
proL	proLp
proP	proPp1
proP	proPp2
proS	proSp
proVWX	proVp1
proVWX	proVp2
proVWX	proVp3
prpBCDE	prpBp
prpR	prpRp
prs	prsp
psd-mscM	psdp
psiE	psiEp
pspABCDE	pspAp
pspBCDE	pspBp
pspE	pspEp
pspF	pspFp1
pspF	pspFp2
pspF	pspFp3
pspG	pspGp
sraB	psrDp
psrO	psrOp
pssA	pssAp4
pssA	pssAp6
pstB-phoU	pstBp
pstB-phoU	pstBp1
pstCAB-phoU	pstCp
pstS	pstSp
pstSCA	pstSp
pstSCAB-phoU	pstSp
psuG	psuGp4
psuT	psuTp2
pth-ychF	pthp
ptrA	ptrAp
ptrA-recBD	ptrAp
ptrB	ptrBp
ptsG	ptsGp1
ptsG	ptsGp2
ptsHI-crr	ptsHp1
ptsHI-crr	ptsHp2
ptsHI-crr	ptsHp3
ptsHI-crr	ptsHp4
ptsHI-crr	ptsHp5
purA	purAp
purC	purCp
purD	purDp1
purEK	purEp
purHD	purHp
purL	purLp
purMN	purMp
purR	purRp
purT	purTp3
purT	purTp5
purU	purUp3
purU	purUp4
purU	purUp5
putA	putAp
putP	putPp1
putP	putPp2
putP	putPp3
putP	putPp4
putP	putPp5
puuAP	puuAp
puuCBE	puuCp
puuDRCBE	puuDp
puuP	puuPp
pykA	pykAp1
pykA	pykAp2
pykF	pykFp
pykF	pykFp1
pykF	pykFp2
pykF	pykFp3
pyrC	pyrCp
pyrD	pyrDp
pyrE	pyrEp4
pyrF-yciH	pyrFp
pyrG-eno	pyrGp
pyrG-eno	pyrGp1
pyrG-eno	pyrGp2
pyrH	pyrHp
pyrLBI	pyrLp1
pyrLBI	pyrLp2
qmcA-ybbJ	qmcAp
qor	qorp
qseBC	qseBp1
qseBC	qseBp2
queA	queAp
queE	queEp7
queF	queFp
queG	queGp
ybcQ	quuDp3
racC	racCp4
racC	racCp6
racR	racRp3
racR	racRp4
racR	racRp5
raiA	raiAp
rarD	rarDp1
rarD	rarDp2
rarD	rarDp3
rarD	rarDp4
rarD	rarDp5
ravA-viaA	ravAp
rayT	rayTp1
rayT	rayTp8
rbn	rbnp4
rbsDACBKR	rbsDp
rcnAB	rcnAp
rcnB	rcnBp
rcnR	rcnRp
rcsA	rcsAp
rcsB	rcsBp1
rcsB	rcsBp2
rcsC	rcsCp4
rcsC	rcsCp5
rcsDB	rcsDp
rdgB-yggW	rdgBp
rdlA	rdlAp5
rdlB	rdlBp4
rdlC	rdlCp3
rdlD	rdlDp
rdoA-dsbA	rdoAp
recA	recAp
recAX	recAp
recC	recCp
recF	recFp1
recF	recFp2
recN	recNp
recQ	recQp1
recQ	recQp2
relA-mazEF	relAp1
relA-mazEF	relAp2
relBE-hokD	relBp
rem	remp1
rem	remp2
rep	rep
rfaD-waaFCL	rfaDp1
rfaD-waaFCL	rfaDp2
rfaD-waaFCL	rfaDp3
rfaD-waaFCL	rfaDp4
rfaE	rfaEp1
rfaH	rfaHp4
rfaH	rfaHp5
waaQGPSBIJYZU	rfaQp2
waaYZ	rfaYp
waaZU	rfaZp
rfbACX	rfbAp
rfbX	rfbXp5
rfbX	rfbXp6
rfbX	rfbXp7
rfbX	rfbXp8
wbbH	rfcp10
wbbH	rfcp11
wbbH	rfcp7
wbbH	rfcp8
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM	rfep
rhaBAD	rhaBp
rhaD	rhaDp
rhaSR	rhaSp
rhaT	rhaTp
rhlE	rhlEp5
yfaU	rhmAp3
rhoL	rhoLp
rhoL-rho	rhoLp
rhsB	rhsBp10
rhsB	rhsBp11
rhsB	rhsBp12
rhsB	rhsBp3
rhsB	rhsBp8
rhsB	rhsBp9
rhsC-ybfB	rhsCp3
rhsD-ybbC-ylbH-ybbD	rhsDp8
rhtA	rhtAp8
rhtC	rhtCp2
ribA	ribAp1
ribA	ribAp2
ribC	ribCp5
ribE-nusB-thiL-pgpA	ribEp
ribF-ileS-lspA-fkpB-ispH	ribFp
ridA	ridAp
rihA	rihAp3
rihB	rihBp
rimJ	rimJp
rimK-ybjN	rimKp
rimL	rimLp
rimO	rimOp
rimP-nusA-infB	rimPp
rlmA	rlmAp9
rlmD	rlmDp
rlmE-ftsH	rlmEp1
rlmE-ftsH	rlmEp2
rlmF	rlmFp1
rlmF	rlmFp7
rlmG	rlmGp4
rlmI	rlmIp4
rlmJ	rlmJp
rlmL-uup	rlmLp
rlpA	rlpAp5
rlpA	rlpAp7
rluA	rluAp1
rluF	rluFp1
rluF	rluFp6
rmf	rmfp
rmf	rmfp4
rmf	rmfp5
rna	rnap
rnb	rnbp1
rnb	rnbp2
rnc-era	rncp
rnc-era-recO-pdxJ-acpS	rncp
rnd	rndp
rne	rnep1
rne	rnep2
rne	rnep3
rne	rnep4
rnhA	rnhAp
rnk	rnkp6
rnk	rnkp7
rnlA	rnlAp
rnlAB	rnlAp2
rnlB	rnlBp
rnlB	rnlBp2
rnpB	rnpBp
rob	robp
rodZ	rodZp1
rodZ	rodZp2
rpe-gph-trpS	rpep
rph	rphp1
rph-pyrE	rphp1
rpiA	rpiAp
rpiB	rpiBp
rplJL-rpoBC	rplJp
rplKAJL-rpoBC	rplKp
rplL	rplLp
rplM-rpsI	rplMp
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	rplNp
rplS	rplSp1
rplT	rplTp
rplT-pheM	rplTp
rplU-rpmA	rplUp
rplY	rplYp3
rplY	rplYp5
rplY	rplYp6
rpmA	rpmAp4
rpmBG	rpmBp
rpmBG-mutM	rpmBp
rpmE	rpmEp
rpmF-plsX-fabHDG	rpmFp
rpmH-rnpA	rpmHp1
rpmH-rnpA	rpmHp2
rpmH-rnpA	rpmHp3
rpmI-rplT	rpmIp
rpoBC	rpoBp
rpoD	rpoDp1
rpoD	rpoDp2
rpoD	rpoDp3
rpoD	rpoDp4
rpoE-rseABC	rpoEp1
rpoE-rseABC	rpoEp2
rpoH	rpoHp1
rpoH	rpoHp3
rpoH	rpoHp4
rpoH	rpoHp5
rpoH	rpoHp6
rpoN-hpf-ptsN-rapZ-npr	rpoNp
rpoS	rpoSp
rpoS	rpoSp1
rpoS	rpoSp2
rpoS	rpoSp3
rpoS	rpoSp4
rpoZ-spoT-trmH-recG	rpoZp
rppH-ptsP	rppHp
rprA	rprAp
rpsA-ihfB	rpsAp1
rpsA-ihfB	rpsAp3
tff-rpsB-tsf	rpsBp
rpsF-priB-rpsR-rplI	rpsFp
rpsI	rpsIp2
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	rpsJp
rpsLG-fusA-tufA	rpsLp
rpsMKD-rpoA-rplQ	rpsMp1
rpsMKD-rpoA-rplQ	rpsMp2
rpsO	rpsOp
rpsO-pnp	rpsOp
rpsP-rimM-trmD-rplS	rpsPp
rpsT	rpsTp1
rpsT	rpsTp2
rpsU	rpsUp1
rpsU-dnaG-rpoD	rpsUp1
rpsU-dnaG-rpoD	rpsUp2
rpsU-dnaG-rpoD	rpsUp3
rraA	rraAp
rraB	rraBp1
rraB	rraBp2
thrV-rrfF	rrfFp2
rrfG	rrfGp
rrlA-rrfA	rrlAp
rrlB-rrfB	rrlBp
rrlE-rrfE	rrlEp
rrlH-rrfH	rrlHp
rrsA-ileT-alaT-rrlA-rrfA	rrsAp1
rrsA-ileT-alaT-rrlA-rrfA	rrsAp2
rrsB-gltT-rrlB-rrfB	rrsBp1
rrsB-gltT-rrlB-rrfB	rrsBp2
rrsC-gltU-rrlC-rrfC	rrsCp1
rrsC-gltU-rrlC-rrfC	rrsCp2
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrsDp1
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrsDp2
rrsE-gltV-rrlE-rrfE	rrsEp
rrsE-gltV-rrlE-rrfE	rrsEp2
rrsG-gltW-rrlG-rrfG	rrsGp1
rrsG-gltW-rrlG-rrfG	rrsGp2
rrsH-ileV-alaV-rrlH-rrfH	rrsHp1
rrsH-ileV-alaV-rrlH-rrfH	rrsHp2
rsd	rsdp1
rsd	rsdp2
rseABC	rseAp3
rseP	rsePp
rseX	rseXp
rsfS-rlmH-mrdAB-rlpA	rsfAp
rsgA	rsgAp12
rsmA-apaGH	rsmAp
rsmB	rsmBp4
rsmC	rsmCp1
rsmC	rsmCp3
rsmD-yhhL	rsmDp1
rsmD-yhhL	rsmDp11
rsmD-yhhL	rsmDp2
rsmE-gshB	rsmEp1
rsmE-gshB	rsmEp4
rsmG	rsmGp
rsmI	rsmIp6
rsmI	rsmIp8
rssAB	rssAp
rssB	rssBp
rstAB	rstAp
rsuA	rsuAp2
rsuA	rsuAp3
rsxABCDGE-nth	rsxAp
rtcA	rtcAp1
rtcA	rtcAp2
rtcA	rtcAp6
rtcBA	rtcBp
rtcR	rtcRp
rtn	rtnp1
rutABCDEFG	rutAp
rutG	rutGp2
rutR	rutRp
rutR	rutRp2
ruvAB	ruvAp1
ruvAB	ruvAp2
ruvB	ruvBp1
ruvB	ruvBp3
ruvB	ruvBp4
ruvC	ruvCp
rybA-mntS	rybAp
rybB	rybBp
rydB	rydBp1
rydB	rydBp2
rydC	rydCp
ryeA	ryeAp
sdsR	ryeBp
ryfA	ryfAp11
ryfD	ryfDp
ryhB	ryhBp
ryjA	ryjAp
ryjB	ryjBp
sad	sadp5
safA-ydeO	safAp
sanA-yeiS	sanAp3
sapF	sapFp5
sbcB	sbcBp
sbcC	sbcCp2
sbcDC	sbcDp
sbmA-yaiW	sbmAp
sbmC	sbmCp1
sbmC	sbmCp2
sdaA	sdaAp
sdaCB	sdaCp
sdhCDAB-sucABCD	sdhCp
sdhDAB	sdhDp2
sdiA	sdiAp1
sdiA	sdiAp2
sdiA	sdiAp3
sdiA	sdiAp4
sdiA	sdiAp6
sdiA	sdiAp8
secE-nusG	secEp
secG-leuU	secGp1
secG-leuU	secGp2
selAB	selAp
selB	selBp5
selC	selCp
selD-topB	selDp1
selD-topB	selDp2
ybbB	selUp4
ybbB	selUp5
seqA-pgm	seqAp
serA	serAp1
serA	serAp2
serB-radA	serBp
serC	serCp
serC-aroA	serCp
serS	serSp
serT	serTp
serU	serUp
serV-argVYZQ	serVp
serW	serWp
serX	serXp
setB	setBp2
setB	setBp3
setC	setCp10
setC	setCp12
setC	setCp13
setC	setCp14
sfmA	sfmAp4
sfmA	sfmAp6
sfmCD	sfmCp4
sfmCD	sfmCp5
sfsA-dksA	sfsAp
sfsB	sfsBp2
sfsB	sfsBp3
sgrR-sroA-tbpA-thiPQ	sgrRp
sgrST-setA	sgrSp
shiA	shiAp
shiA	shiAp11
shoB	shoBp
sibA	sibAp
sibB	sibBp
sibC	sibCp
sibD	sibDp
sibE	sibEp
sixA	sixAp
slp-dctR	slpp
slt	sltp7
slyA	slyAp10
slyA	slyAp13
slyA	slyAp14
slyB	slyBp1
slyB	slyBp2
slyD	slyDp5
slyD	slyDp6
slyD	slyDp7
slyX	slyXp4
smf	smfp
smpB	smpBp5
smrA	smrAp1
smrB	smrBp4
smrB	smrBp6
smtA-mukFEB	smtAp
sodA	sodAp
sodB	sodBp
sodC	sodCp
prlF-yhaV	sohAp
sohB	sohBp1
sohB	sohBp2
sokB	sokBp3
solA-yceO	solAp
soxR	soxRp
soxS	soxSp
speAB	speAp
speB	speBp
speC	speCp
spf	spfp
sppA	sppAp6
spy	spyp
sra	srap
srlAEBD-gutM-srlR-gutQ	srlAp
srlR	srlRp
srmB	srmBp4
sroA	sroAp
sroG-ribB	sroGp2
sroH	sroHp
ssb	ssbp1
ssb	ssbp2
ssb	ssbp3
sseA	sseAp
ssnA	ssnAp
sspAB	sspAp
ssrA	ssrAp
ssrA	ssrAp2
ssrS	ssrSp1
ssrS-fau	ssrSp1
ssrS	ssrSp2
ssrS-fau	ssrSp2
sstT	sstTp
ssuB	ssuBp3
ssuEADCB	ssuEp
sthA	sthAp
stpA	stpAp1
stpA	stpAp2
stpA	stpAp3
sucAB	sucAp
sucABCD	sucAp
sufABCDSE	sufAp
sufE	sufEp3
sugE	sugEp
sulA	sulAp
surA-pdxA-rsmA-apaGH	surAp
umpG-pcm	surEp2
syd	sydp2
symE	symEp
symR	symRp
tabA	tabAp4
tabA	tabAp5
talA	talAp
talA-tktB	talAp1
talA-tktB	talAp2
talB	talBp
tamAB-ytfP	tamAp1
tam	tamp
tar-tap-cheRBYZ	tarp
tas	tasp4
tatABC	tatAp1
tatABCD	tatAp1
tatE	tatEp3
tauABCD	tauAp
tdcABCDEFG	tdcAp
tdcBCDEFG	tdcBp
tdcG	tdcGp2
tdcR	tdcRp4
tdcR	tdcRp5
tdcR	tdcRp6
tdcR	tdcRp7
tdcR	tdcRp8
tdk	tdkp1
tdk	tdkp8
tehAB	tehAp
tesA-ybbO	tesAp
tesB	tesBp
tfaE	tfaEp1
tfaE	tfaEp6
tfaQ	tfaQp6
tgt-yajC	tgtp
thiD	thiDp3
thiI	thiIp
thiMD	thiMp
thiQ	thiQp2
thrL	thrLp
thrLABC	thrLp
thrS-infC	thrSp
thrS-infC-rpmI-rplT-pheMST-ihfA	thrSp
thrU-tyrU-glyT-thrT-tufB	thrUp
thrW	thrWp
thyA	thyAp2
tig	tigp
tig	tigp1
tig	tigp3
tisB	tisBp
tktA	tktAp1
tktB	tktBp
tldD	tldDp6
tldD	tldDp7
tmcA	tmcAp5
tnaC	tnaCp
tnaCAB	tnaCp
tolB-pal-ybgF	tolBp3
tolB-pal-ybgF	tolBp6
tolC-ygiABC	tolCp1
tolC-ygiABC	tolCp2
tolC-ygiABC	tolCp3
tolC-ygiABC	tolCp4
tomB-hha	tomBp1
tonB	tonBp
topA	topAp1
topA	topAp2
topA	topAp3
topA	topAp4
topA	topAp5
torCAD	torCp
torR	torRp
torS	torSp5
torT	torTp1
torT	torTp2
torT	torTp7
tpiA	tpiAp1
tpiA	tpiAp2
tppB	tppBp
tpr	tprp1
tpx	tpxp
tqsA	tqsAp
treA	treAp
treBC	treBp
treF	treFp
treR	treRp1
treR	treRp2
treR	treRp3
treR	treRp4
trg	trgp1
trkA	trkAp
trkG	trkGp1
trkG	trkGp7
trkG	trkGp8
trmA	trmAp
trpA	trpAp4
trpA	trpAp5
trpA	trpAp7
trpA	trpAp8
trpCBA	trpCp
trpL	trpLp
trpLEDCBA	trpLp
trpR	trpRp
trpS	trpSp
trpT	trpTp2
trxA	trxAp1
trxA	trxAp2
trxB	trxBp
trxC	trxCp
tsaB-yeaY	tsaBp
tsaD	tsaDp2
tsaD	tsaDp3
tsaE-amiB-mutL-miaA-hfq-hflXKC	tsaEp
tsgA	tsgAp
tsr	tsrp
tsr	tsrp1
tsx	tsxp1
tsx	tsxp2
ttcA	ttcAp5
ttdABT	ttdAp
ttdR	ttdRp
tufA	tufAp1
tufA	tufAp2
tusA	tusAp7
tusB	tusBp7
tus	tusp2
tynA	tynAp
tynA	tynAp1
typA	typAp1
typA	typAp6
tyrB	tyrBp
tyrP	tyrPp1
tyrP	tyrPp2
tyrR	tyrRp
tyrS-pdxY	tyrSp1
tyrS-pdxY	tyrSp2
tyrTV-tpr	tyrTp
tyrV-tpr	tyrVp
ubiCA	ubiCp
ubiD	ubiDp8
ubiD	ubiDp9
ubiEJB	ubiEp2
ubiEJB	ubiEp4
ubiG	ubiGp
ubiX	ubiXp
ucpA	ucpAp1
ucpA	ucpAp2
udp	udpP
ugd	ugdp9
ugpBAECQ	ugpBp1
ugpBAECQ	ugpBp2
ugpQ	ugpQp1
uhpT	uhpTp
uidABC	uidAp
uidC	uidCp5
uidC	uidCp6
uidR	uidRp
ulaABCDEF	ulaAp
ulaG	ulaGp
ulaR	ulaRp5
umpH	umpHp
umuDC	umuDp
ung	ungp
uof-fur	uofp
upp-uraA	uppp
usg-truA-dedA	usgp
ushA	ushAp6
uspA	uspAp1
uspA	uspAp2
uspA	uspAp3
uspB	uspBp
uspC	uspCp2
uspC	uspCp4
uspC	uspCp5
uspC	uspCp6
uspC	uspCp8
uspC	uspCp9
uspE	uspEp
uspF	uspFp
uspG	uspGp
uvrA	uvrAp
uvrB	uvrBp1
uvrB	uvrBp2
uvrB	uvrBp3
uvrC	uvrCp3
uvrD	uvrDp1
uvrD	uvrDp2
uvrYC	uvrYp2
uxaB	uxaBp
uxaB	uxaBp2
uxaCA	uxaCp
uxaCA	uxaCp1
uxuAB	uxuAp
