TU	BindingSite
acnA	ECK120016213
puuAP	ECK120051410
tpx	ECK120013992
fnr	ECK120012694
fnrS	ECK125108733
aldA	ECK120020684
fdnGHI	ECK120013869
fdnGHI	ECK120013104
ydeJ	ECK120051412
ynfEFGH-dmsD	ECK120023162
ydhYVWXUT	ECK120034556
yeiL	ECK120013657
napFDAGHBC-ccmABCDEFGH	ECK120013674
glpABC	ECK120016208
glpTQ	ECK120016208
glpABC	ECK120015610
glpTQ	ECK120015610
nuoABCEFGHIJKLMN	ECK120013431
hyfABCDEFGHIJR-focB	ECK120012056
purMN	ECK120017032
upp-uraA	ECK120020667
yfgF	ECK125110187
hmp	ECK120012304
grcA	ECK120011248
grcA	ECK120011246
norVW	ECK120012237
hypBCDE	ECK120012172
hypBCDE-fhlA	ECK120012172
hypBCDE	ECK120013908
hypBCDE-fhlA	ECK120013908
ansB	ECK120012911
aer	ECK120020669
tdcABCDEFG	ECK120020671
tdcABCDEFG	ECK120020673
gltBDF	ECK120023165
nirBDC-cysG	ECK120012820
feoABC	ECK120023167
malPQ	ECK120020675
nikABCDER	ECK120014092
gadX	ECK120020686
gadXW	ECK120020686
gadAX	ECK120020688
yhjA	ECK120031751
dppABCDF	ECK120020690
sodA	ECK120014165
katG	ECK120020679
katG	ECK120020677
ubiCA	ECK120012280
nrfABCDEFG	ECK120014026
fumB	ECK120013355
fumB	ECK120013357
fumB	ECK120013108
dcuB-fumB	ECK120014059
cadC	ECK120020681
aspA	ECK120015751
aspA-dcuA	ECK120015751
frdABCD	ECK120012696
nrdDG	ECK120012052
nrdDG	ECK120012050
arcA	ECK120013864
arcA	ECK120013864
fabA	ECK120011356
fabB	ECK120011358
fadE	ECK120030279
fadM	ECK125141192
fabA	ECK120012975
fabHDG	ECK125161309
fadR	ECK125158209
fadD-sroD	ECK120011890
fadD-sroD	ECK120011892
fabB	ECK120011826
fadIJ	ECK120017076
fadL	ECK120012927
fadL	ECK120012929
fadH	ECK125110247
uspA	ECK120013411
uspA	ECK120013404
fadBA	ECK120012925
iclR	ECK120011901
feaB	ECK120026370
feaB	ECK125162242
tynA	ECK125162240
tynA	ECK125162238
hydN-hypF	ECK120011222
hyfABCDEFGHIJR-focB	ECK120011396
hypABCDE	ECK120013099
hypABCDE-fhlA	ECK120013099
hypABCDE	ECK125109814
hypABCDE-fhlA	ECK125109814
hycABCDEFGHI	ECK125109815
hycABCDEFGHI	ECK120013097
fdhF	ECK125109813
fdhF	ECK120013095
fumB	ECK120011222
mglAC	ECK120011222
glnQ	ECK120011222
pdxA-rsmA	ECK120011222
pdxA-rsmA-apaGH	ECK120011222
sra	ECK120011222
ssrS	ECK120011222
ssrS-fau	ECK120011222
ssrS	ECK120011222
ssrS-fau	ECK120011222
carAB	ECK120033952
carAB	ECK120033956
carAB	ECK120033958
lpd	ECK120013640
acnB	ECK120014146
acnB	ECK120014144
acnB	ECK120014142
rrsH-ileV-alaV-rrlH-rrfH	ECK120011735
rrsH-ileV-alaV-rrlH-rrfH	ECK120011733
rrsH-ileV-alaV-rrlH-rrfH	ECK120011731
rrsH-ileV-alaV-rrlH-rrfH	ECK120011729
aspV	ECK120013596
thrW	ECK120013598
queA	ECK120013670
hupB	ECK120013963
hupB	ECK120013963
hupB	ECK120013960
hupB	ECK120013960
hupB	ECK120013957
hupB	ECK120013957
hupB	ECK120013954
hupB	ECK120013954
argU	ECK120013600
metT-leuW-glnUW-metU-glnVX	ECK120013602
lysT-valT-lysW	ECK120013604
dps	ECK120035014
dps	ECK120035012
dmsABC	ECK120034012
dmsABC	ECK120034014
dmsABC	ECK120034016
pflB	ECK120034076
pyrD	ECK120034078
serT	ECK120013606
hyaABCDEF	ECK120034052
cbpAM	ECK125160695
cbpAM	ECK125160695
serX	ECK120013608
ptsG	ECK120012072
ptsG	ECK120012072
ptsG	ECK120012069
ptsG	ECK120012069
ptsG	ECK120012066
ptsG	ECK120012066
ptsG	ECK120012063
ptsG	ECK120012063
ptsG	ECK120012060
ptsG	ECK120012060
ndh	ECK120014018
ndh	ECK120014020
ndh	ECK120014022
hlyE	ECK120034050
hlyE	ECK120034048
hlyE	ECK120034046
hlyE	ECK120034044
hlyE	ECK120034042
narK	ECK120034070
narGHJI	ECK120034066
narGHJI	ECK120034068
tyrTV-tpr	ECK120013610
tyrTV-tpr	ECK120011747
tyrTV-tpr	ECK120011749
hns	ECK120011920
hns	ECK120011922
hns	ECK120011932
hns	ECK120011924
hns	ECK120011930
hns	ECK120011926
hns	ECK120011928
adhE	ECK120014003
adhE	ECK120014005
adhE	ECK120014007
topA	ECK120029564
topA	ECK120029564
topA	ECK120029561
topA	ECK120029561
topA	ECK120029558
topA	ECK120029558
topA	ECK120029555
topA	ECK120029555
topA	ECK120029552
topA	ECK120029552
topA	ECK120011625
topA	ECK120011623
topA	ECK120011621
topA	ECK120029567
topA	ECK120029569
topA	ECK120029571
ogt	ECK120051330
trg	ECK125108613
trg	ECK125108615
gadBC	ECK120034032
gadBC	ECK120034030
gadBC	ECK120034028
gadBC	ECK120034026
marRAB	ECK120011188
cspI	ECK120034010
cspI	ECK120034008
cspI	ECK120034006
cspI	ECK120034004
cspI	ECK120034002
cspI	ECK120034000
flxA	ECK120033962
katE	ECK120034054
osmE	ECK120029548
osmE	ECK120029550
osmE	ECK120029546
yeaR-yoaG	ECK120051342
yeaR-yoaG	ECK120051340
proL	ECK120013612
gyrA	ECK120011541
nrdAB-yfaE	ECK120029587
nrdAB-yfaE	ECK120029585
nrdAB-yfaE	ECK120029583
nrdAB-yfaE	ECK120012824
nrdAB-yfaE	ECK120029581
glpABC	ECK120033964
glpTQ	ECK120033964
glpABC	ECK120033966
glpTQ	ECK120033966
glpABC	ECK120033968
glpTQ	ECK120033968
glpABC	ECK120033970
glpTQ	ECK120033970
glpABC	ECK120033972
glpTQ	ECK120033972
glpABC	ECK120033974
glpTQ	ECK120033974
nuoABCEFGHIJKLMN	ECK120011549
nuoABCEFGHIJKLMN	ECK120011551
nuoABCEFGHIJKLMN	ECK120011553
argW	ECK120013614
alaWX	ECK120013616
gltX	ECK120051420
valUXY-lysV	ECK120051420
gltX	ECK120051422
valUXY-lysV	ECK120051422
gltX	ECK120051424
valUXY-lysV	ECK120051424
guaBA	ECK120048790
guaBA	ECK120048788
guaBA	ECK120048786
grcA	ECK120033994
grcA	ECK120033992
grcA	ECK120033990
rrsG-gltW-rrlG-rrfG	ECK120011723
rrsG-gltW-rrlG-rrfG	ECK120011725
rrsG-gltW-rrlG-rrfG	ECK120011727
mazEFG	ECK120011816
mazEFG	ECK120011816
glyU	ECK120013620
ansB	ECK120033998
ansB	ECK120033996
pheV	ECK120013622
glcC	ECK120034034
glcC	ECK120034036
glcC	ECK120034038
glcC	ECK120034040
patA	ECK120011660
rnpB	ECK120016205
rnpB	ECK120016203
rnpB	ECK120016201
rnpB	ECK120016199
metY	ECK120016538
metY-rimP-nusA-infB	ECK120016538
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	ECK120016538
nanA	ECK120034064
nanATEK-yhcH	ECK120034064
nanA	ECK120034062
nanATEK-yhcH	ECK120034062
nanA	ECK120034060
nanATEK-yhcH	ECK120034060
rplM-rpsI	ECK125134675
dusB-fis	ECK120029544
dusB-fis	ECK120029542
dusB-fis	ECK120029540
dusB-fis	ECK120011531
dusB-fis	ECK120012692
dusB-fis	ECK120011533
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011703
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011705
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011707
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011709
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011711
crp	ECK120030701
crp	ECK120030701
crp	ECK120030701
crp	ECK120030698
crp	ECK120030698
crp	ECK120030743
crp	ECK120030695
crp	ECK120030695
crp	ECK120030742
crp	ECK120030692
crp	ECK120030692
crp	ECK120030741
nirBDC-cysG	ECK120011253
nirBDC-cysG	ECK120012235
nirBDC-cysG	ECK120011616
gadAX	ECK120034024
gadAX	ECK120034022
gadAX	ECK120034020
gadAX	ECK120034018
proK	ECK120013625
xylFGHR	ECK120034080
xylFGHR	ECK120034082
xylFGHR	ECK120019284
aldB	ECK120013101
aldB	ECK120013582
aldB	ECK120013584
aldB	ECK120013586
aldB	ECK120013588
mtlADR	ECK120017164
gyrB	ECK120011543
gyrB	ECK120011545
bglG	ECK120012081
bglGFB	ECK120012081
bglG	ECK120012083
bglGFB	ECK120012083
rrsC-gltU-rrlC-rrfC	ECK120011694
rrsC-gltU-rrlC-rrfC	ECK120011692
rrsC-gltU-rrlC-rrfC	ECK120011690
argX-hisR-leuT-proM	ECK120013627
fadBA	ECK120033960
rrsA-ileT-alaT-rrlA-rrfA	ECK120011688
rrsA-ileT-alaT-rrlA-rrfA	ECK120011686
rrsA-ileT-alaT-rrlA-rrfA	ECK120011684
rrsA-ileT-alaT-rrlA-rrfA	ECK120011682
glnA	ECK120026396
glnALG	ECK120026396
trmA	ECK120013402
rrsB-gltT-rrlB-rrfB	ECK120011292
rrsB-gltT-rrlB-rrfB	ECK120011290
rrsB-gltT-rrlB-rrfB	ECK120011288
thrU-tyrU-glyT-thrT-tufB	ECK120029577
thrU-tyrU-glyT-thrT-tufB	ECK120029575
thrU-tyrU-glyT-thrT-tufB	ECK120013629
hupA	ECK120013952
hupA	ECK120013950
hupA	ECK120013948
hupA	ECK120013946
rrsE-gltV-rrlE-rrfE	ECK120011721
rrsE-gltV-rrlE-rrfE	ECK120011719
rrsE-gltV-rrlE-rrfE	ECK120011717
rrsE-gltV-rrlE-rrfE	ECK120011715
rrsE-gltV-rrlE-rrfE	ECK120011713
malEFG	ECK120033984
malEFG	ECK120033982
acs-yjcH-actP	ECK120011775
acs-yjcH-actP	ECK120011777
nrfABCDEFG	ECK120011765
acs-yjcH-actP	ECK120011765
acs-yjcH-actP	ECK120011765
proP	ECK120011802
proP	ECK120011804
pheU	ECK120013631
msrA	ECK120034058
msrA	ECK120034056
leuX	ECK120013633
leuQPV	ECK120013635
osmY	ECK120034072
osmY	ECK120034074
deoCABD	ECK120017167
ygbK	ECK120011222
ppdAB-ygdB-ppdC-recC	ECK120011222
glpABC	ECK120011222
napFDAGHBC-ccmABCDEFGH	ECK120011222
hydN-hypF	ECK120011222
napFDAGHBC-ccmABCDEFGH	ECK120011222
mglBAC	ECK120011222
mdh	ECK120011222
nrfABCDEFG	ECK120011222
ycgR	ECK120011222
yhjH	ECK120011222
gltI-sroC-gltJKL	ECK120016745
gltI-sroC-gltJKL	ECK120016747
flgAMN	ECK120016598
flgBCDEFGHIJ	ECK120016598
flgBCDEFGHIJ	ECK120016602
flgAMN	ECK120016600
flhBAE	ECK120016735
flhBAE	ECK120016737
yecR	ECK120016608
yecR	ECK120016606
fliAZY	ECK120011334
fliAZY	ECK120016610
fliDST	ECK120016614
fliDST	ECK120016612
fliE	ECK120016739
fliFGHIJK	ECK120016739
fliE	ECK120016742
fliFGHIJK	ECK120016742
fliLMNOPQR	ECK120016733
fliLMNOPQR	ECK120011336
mlrA	ECK120011222
gmr	ECK120011222
gadE-mdtEF	ECK120011222
hdeAB-yhiD	ECK120011222
flhDC	ECK120011222
gadBC	ECK120011222
csgDEFG	ECK120011222
csgDEFG	ECK120011222
csgBAC	ECK120011222
osmY	ECK120011222
fucAO	ECK120011222
fucPIKUR	ECK120011222
ompF	ECK120011222
fumB	ECK120011222
zinT	ECK120011222
katG	ECK120011222
katE	ECK120011222
rpoS	ECK120011222
gltBDF	ECK120011222
gnd	ECK120011222
fumC	ECK120011222
soxR	ECK120011222
soxS	ECK120011222
nac	ECK120011222
glnK-amtB	ECK120011222
aspC	ECK120011222
glnD	ECK120011222
ndh	ECK120011222
zwf	ECK120011222
gdhA	ECK120011222
fnr	ECK120011222
grcA	ECK120011222
lpd	ECK120011222
fhuACDB	ECK125110260
cyoABCDE	ECK120016010
fepA-entD	ECK120011181
fes-ybdZ-entF-fepE	ECK120011181
fepA-entD	ECK120016036
fes-ybdZ-entF-fepE	ECK120016036
fepA-entD	ECK120030712
fes-ybdZ-entF-fepE	ECK120030712
fepA-entD	ECK120030740
fes-ybdZ-entF-fepE	ECK120030740
fepA-entD	ECK120030715
fes-ybdZ-entF-fepE	ECK120030715
fepDGC	ECK120033943
entS	ECK120033943
fepDGC	ECK120016484
entS	ECK120016484
fepDGC	ECK120033945
entS	ECK120033945
fepDGC	ECK120033947
entS	ECK120033947
fepB	ECK120013121
entCEBAH	ECK120016143
fepB	ECK120012394
fepB	ECK120033348
entCEBAH	ECK120016032
entCEBAH	ECK120033921
entCEBAH	ECK120030708
entCEBAH	ECK120030710
entCEBAH	ECK120033925
entCEBAH	ECK120033347
fur	ECK120033927
fur	ECK120033927
fur	ECK120013496
fur	ECK120013496
sdhCDAB-sucABCD	ECK120016058
gpmA	ECK120011699
gpmA	ECK120011701
fiu	ECK120011527
fiu	ECK120011523
fiu	ECK120011521
fiu	ECK120011525
pyrC	ECK125110245
fhuE	ECK120011539
fhuE	ECK120012400
oppABCDF	ECK125110197
tonB	ECK120012396
tonB	ECK120013127
tonB	ECK120033930
tonB	ECK120013537
nohA-ydfN-tfaQ	ECK120015643
nohA-ydfN-tfaQ	ECK120015641
purR	ECK120016006
sufABCDSE	ECK120016018
mntP	ECK125140761
flhDC	ECK120016008
ftnA	ECK125108650
ftnA	ECK125108652
ftnA	ECK125108654
ftnA	ECK125108656
ftnA	ECK125108658
rcnAB	ECK125145895
rcnAB	ECK125145813
rcnAB	ECK125145815
cirA	ECK120012385
cirA	ECK120012385
cirA	ECK120033932
cirA	ECK120012659
cirA	ECK120012659
cirA	ECK120012656
cirA	ECK120012656
mntH	ECK120017054
hmp	ECK120033085
ygaC	ECK120011696
nrdHIEF	ECK120011696
exbD	ECK120011535
exbBD	ECK120011529
exbBD	ECK120012392
yqjH	ECK125134863
yqjH	ECK125134861
yqjH	ECK125134865
garPLRK-rnpB	ECK125110199
gspCDEFGHIJKLMO	ECK125110201
feoABC	ECK120023166
ryhB	ECK120011737
ryhB	ECK125110203
yhhY	ECK120016496
ryhB	ECK120016496
sodA	ECK120012886
sodA	ECK120012888
sodA	ECK125110243
sodA	ECK120033934
metJ	ECK120016012
metH	ECK120016014
fecABCDE	ECK120033936
fecABCDE	ECK120011184
fecABCDE	ECK120012398
fecIR	ECK120033940
fecIR	ECK120012032
fecIR	ECK120033938
fecIR	ECK120013124
fhuF	ECK120015647
yjjZ	ECK120015647
fhuF	ECK125110205
fhuF	ECK125110207
fhuF	ECK120015645
yjjZ	ECK120015645
lrp	ECK120011222
gltBDF	ECK120011222
rcsA	ECK120011222
cyoABCDE	ECK120011222
gnd	ECK120011222
purA	ECK120011222
hlpA-lpxD-fabZ-lpxA	ECK120011222
gadX	ECK120011222
gadXW	ECK120011222
fliC	ECK120011222
gadE	ECK120011222
gadBC	ECK120015676
hdeAB-yhiD	ECK125109421
hdeD	ECK125109421
gadE-mdtEF	ECK120012310
gadE-mdtEF	ECK120012308
gadE-mdtEF	ECK120012306
slp-dctR	ECK120011222
cadBA	ECK120011222
aslB	ECK120011222
yhiM	ECK120011222
adiC	ECK120011222
gadAX	ECK120012094
gadX	ECK120011222
gadXW	ECK120011222
gadBC	ECK125135131
gadBC	ECK125135094
gadBC	ECK125135098
gadBC	ECK125135096
slp-dctR	ECK125135100
slp-dctR	ECK120048731
hdeAB-yhiD	ECK120048733
hdeAB-yhiD	ECK120017085
hdeAB-yhiD	ECK120048903
gadE-mdtEF	ECK120033128
gadE-mdtEF	ECK125135079
gadY	ECK125135106
gadW	ECK125135106
gadY	ECK120048834
gadW	ECK120048834
gadAX	ECK125135126
gadAX	ECK125135124
gadAX	ECK125135122
gadAX	ECK125135108
glnK-amtB	ECK120011222
lon	ECK120011222
rpoS	ECK120011222
hns	ECK120011222
cadBA	ECK120011222
asnB	ECK120011222
ybaST	ECK120011222
uspE	ECK120011222
gadX	ECK120011222
gadXW	ECK120011222
gadBC	ECK120018550
gadBC	ECK125135092
gadBC	ECK125135131
gadBC	ECK125135094
gadBC	ECK125135098
gadBC	ECK125135096
slp-dctR	ECK125135100
slp-dctR	ECK120048731
hdeAB-yhiD	ECK120048733
hdeD	ECK120048733
hdeD	ECK120017085
hdeAB-yhiD	ECK120017085
hdeAB-yhiD	ECK120048903
gadE	ECK120033128
gadE	ECK120033128
gadE-mdtEF	ECK120033128
gadE	ECK125135079
gadE	ECK125135079
gadE-mdtEF	ECK125135079
gadY	ECK125135106
gadW	ECK125135106
gadY	ECK120048834
gadW	ECK120048834
gadAX	ECK120018556
gadAX	ECK125135110
gadAX	ECK125135126
gadAX	ECK125135124
gadAX	ECK125135122
gadAX	ECK125135108
btuB-murI	ECK125135113
btuB-murI	ECK125135115
btuB-murI	ECK125135117
galETKM	ECK120012718
galETKM	ECK120012718
galETKM	ECK120015258
galETKM	ECK120015258
galETKM	ECK120015258
mglBAC	ECK120015264
galS	ECK120015211
galS	ECK120012706
galR	ECK120033125
galP	ECK120048735
galP	ECK120048741
galP	ECK120048738
galP	ECK120048744
galP	ECK120018510
galP	ECK120018509
galETKM	ECK120016493
galETKM	ECK120016493
galETKM	ECK120015258
galETKM	ECK120015258
galETKM	ECK120015258
mglBAC	ECK120015264
galS	ECK120012708
galS	ECK120012706
galR	ECK120033125
galP	ECK120048735
galP	ECK120048741
galP	ECK120048738
galP	ECK120048744
galP	ECK120018510
galP	ECK120018509
gatYZABCD	ECK120011222
gcvB	ECK125141479
gcvA	ECK125141479
gcvA	ECK120016521
gcvB	ECK120016521
gcvTHP	ECK120013136
gcvTHP	ECK125141478
gcvTHP	ECK120013499
gcvTHP	ECK120013134
glcC	ECK120011440
glcDEFGBA	ECK120011440
glpTQ	ECK120015217
glpTQ	ECK120015215
glpTQ	ECK120015213
glpABC	ECK120015606
glpTQ	ECK120015606
glpABC	ECK120012749
glpTQ	ECK120012749
glpABC	ECK120012746
glpTQ	ECK120012746
glpABC	ECK120012743
glpTQ	ECK120012743
glpABC	ECK120012740
glpTQ	ECK120012740
glpD	ECK120012732
glpD	ECK120012734
glpD	ECK120013968
glpD	ECK120013970
glpFKX	ECK120013464
glpFKX	ECK120013462
glpFKX	ECK120013454
glpFKX	ECK120013456
glpFKX	ECK120013458
glpFKX	ECK120013460
glmY	ECK125108633
glmY	ECK125108631
glmY	ECK125108629
edd-eda	ECK120013292
edd-eda	ECK120013294
gntX-nfuA	ECK120012135
gntT	ECK120012120
gntT	ECK120012120
gntT	ECK120012120
gntT	ECK120012213
gntT	ECK120012213
gntT	ECK120012213
gntK	ECK120012098
gntKU	ECK120012098
gntK	ECK120015288
gntKU	ECK120015288
idnK	ECK120012206
idnDOTR	ECK120012206
idnK	ECK120012203
idnDOTR	ECK120012203
idnK	ECK120012209
idnDOTR	ECK120012209
srlAEBD-gutM-srlR-gutQ	ECK120011222
srlAEBD-gutM-srlR-gutQ	ECK120011222
ilvIH	ECK120011222
nirBDC-cysG	ECK120011222
hchA	ECK120011222
relA-mazEF	ECK120011222
proVWX	ECK120011222
bolA	ECK120011222
degP	ECK120011222
gadAX	ECK120011222
cydAB	ECK120011222
smtA-mukFEB	ECK120011222
fimB	ECK120011222
fimAICDFGH	ECK120011222
fimE	ECK120011222
csiE	ECK120011222
caiF	ECK120011222
micF	ECK120011222
fliAZY	ECK120011222
stpA	ECK120011222
gspCDEFGHIJKLMO	ECK120011222
gspAB	ECK120011222
gspAB	ECK120011222
gspCDEFGHIJKLMO	ECK120011222
hchA	ECK120011222
adiA	ECK120011222
cydAB	ECK120011222
flhDC	ECK120011222
osmC	ECK120011222
osmC	ECK120011222
cspD	ECK120011222
rcsA	ECK120011222
nhaAR	ECK120011222
fimB	ECK120011222
hdeD	ECK120011222
csiD-lhgO-gabDTP	ECK120011222
cydAB	ECK120011222
cydAB	ECK120011222
chiA	ECK120011222
gadX	ECK120011222
gadXW	ECK120011222
fliC	ECK120011222
rrsC-gltU-rrlC-rrfC	ECK120011222
rrsG-gltW-rrlG-rrfG	ECK120011222
rrsH-ileV-alaV-rrlH-rrfH	ECK120011222
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	ECK120011222
appY	ECK120011222
hisJQMP	ECK120011222
cysPUWAM	ECK120011222
garPLRK-rnpB	ECK120011222
srlAEBD-gutM-srlR-gutQ	ECK120011222
acrEF	ECK120011222
asr	ECK120011222
slp-dctR	ECK120011222
rcsDB	ECK120011222
cadC	ECK120011222
ydeP	ECK120011222
gadE-mdtEF	ECK120011222
ydeO	ECK120011222
adiY	ECK120011222
yhiM	ECK120011222
gadW	ECK120011222
hdfR	ECK120011222
evgAS	ECK120011222
evgAS	ECK120011222
adeD	ECK120011222
lrp	ECK120011222
caiTABCDE	ECK120011222
nrdDG	ECK120011222
ssrS	ECK120011222
ssrS-fau	ECK120011222
ssrS	ECK120011222
ssrS-fau	ECK120011222
leuO	ECK120034474
leuO	ECK120034474
lacZYA	ECK120012537
lacZYA	ECK120012539
lacZYA	ECK120012541
lacZYA	ECK120012543
lacZYA	ECK120012545
lacZYA	ECK120012547
fes-ybdZ-entF-fepE	ECK120033094
galETKM	ECK120012549
galETKM	ECK120012551
galETKM	ECK120012553
galETKM	ECK120012555
dps	ECK120035016
hlyE	ECK120012510
hlyE	ECK120014030
hns	ECK120013147
hns	ECK120011934
hns	ECK120011936
yciG	ECK125134654
yciGFE	ECK125134654
yciG	ECK120027930
yciGFE	ECK120027930
ftnA	ECK125108660
ftnA	ECK125108662
ftnA	ECK125108652
ftnA	ECK125108665
ftnA	ECK125108667
ftnA	ECK125108669
nrdAB-yfaE	ECK125162210
nrdAB-yfaE	ECK125162212
proVWX	ECK120012284
proVWX	ECK120012286
proVWX	ECK120012288
proVWX	ECK120012290
proVWX	ECK120012292
proVWX	ECK120012294
proVWX	ECK120012296
proVWX	ECK120012298
proVWX	ECK120012300
proVWX	ECK120012302
casABCDE12	ECK125109460
hdeAB-yhiD	ECK120019288
bglG	ECK120012079
bglGFB	ECK120012079
rrsB-gltT-rrlB-rrfB	ECK120011296
rrsB-gltT-rrlB-rrfB	ECK120012498
rrsB-gltT-rrlB-rrfB	ECK120012500
cadBA	ECK120017155
cadBA	ECK120023403
cadBA	ECK120023402
cadBA	ECK120023401
cadBA	ECK120023400
yjjQ-bglJ	ECK120034509
yjjP	ECK120034509
yjjQ-bglJ	ECK120034507
yjjP	ECK120034507
micF	ECK120011222
tyrP	ECK120011222
mtr	ECK120011222
seqA-pgm	ECK120011222
galETKM	ECK120019293
galETKM	ECK120019292
hcaR	ECK120015245
hcaEFCBD	ECK120015245
flhDC	ECK120011222
gltBDF	ECK120011222
hipBA	ECK125135151
hipBA	ECK125135153
hipBA	ECK125135155
hipBA	ECK125135157
hipBA	ECK125135151
hipBA	ECK125135153
hipBA	ECK125135155
hipBA	ECK125135157
hyfABCDEFGHIJR-focB	ECK120011392
cydAB	ECK120011222
metNIQ	ECK120011222
cysH	ECK120011222
metBL	ECK120011222
fecABCDE	ECK120011222
yadV-htrE	ECK120011222
adiA	ECK120011222
tyrP	ECK120011222
mtr	ECK120011222
yadV-htrE	ECK120011222
yadV-htrE	ECK120011222
hemA-prfA-prmC	ECK120011222
sucAB	ECK120011222
sucABCD	ECK120011222
ulaABCDEF	ECK120011222
ulaG	ECK120011222
sra	ECK120011222
carAB	ECK120013157
folA	ECK120033051
hpt	ECK120011455
gcd	ECK120011455
nmpC	ECK120013824
gltA	ECK120013876
glnHPQ	ECK120013505
glnHPQ	ECK120013159
dps	ECK120013155
dmsABC	ECK120011226
focA-pflB	ECK120013312
ihfB	ECK120011263
ihfB	ECK120011261
ihfB	ECK120011259
ihfB	ECK120011257
ihfB	ECK120011255
ihfB	ECK120013151
ompF	ECK120012842
ompF	ECK120012840
ompF	ECK120012838
ssuEADCB	ECK120029987
ssuEADCB	ECK120029985
ssuEADCB	ECK120029983
csgDEFG	ECK125110239
csgDEFG	ECK125110237
ndh	ECK120014097
ndh	ECK120014099
ndh	ECK120014101
narK	ECK120020712
narGHJI	ECK120012810
pspABCDE	ECK120011398
fnr	ECK120013874
paaABCDEFGHIJK	ECK120011570
paaZ	ECK120011570
hipBA	ECK120026323
sodB	ECK120011653
sufABCDSE	ECK120016016
ihfA	ECK120013149
ihfA	ECK120013934
ihfA	ECK120013936
osmE	ECK120013359
flhDC	ECK120013476
yeiL	ECK120013663
yeiL	ECK120013661
ompC	ECK120011870
micF	ECK120011870
ompC	ECK120011870
atoDAEB	ECK120033092
atoDAEB	ECK120033090
glpTQ	ECK120015221
glpTQ	ECK120015219
nuoABCEFGHIJKLMN	ECK120011557
nuoABCEFGHIJKLMN	ECK120011555
nuoABCEFGHIJKLMN	ECK120013433
amiA-hemF	ECK120011559
hemF	ECK120011561
glmY	ECK125134914
glmY	ECK125108635
norVW	ECK120012271
norVW	ECK120012273
hycABCDEFGHI	ECK120013266
hypABCDE	ECK120013266
hypABCDE-fhlA	ECK120013266
cysJIH	ECK120029890
glcDEFGBA	ECK120017136
patA	ECK120011662
tdcABCDEFG	ECK120013161
gltBDF	ECK120029480
gltBDF	ECK120029479
dcuD	ECK120023299
dusB-fis	ECK120011537
nirBDC-cysG	ECK120012233
nirBDC-cysG	ECK120011618
ompR-envZ	ECK120013737
ompR-envZ	ECK120013735
ompR-envZ	ECK120013733
rtcBA	ECK120012456
rtcBA	ECK120012458
rpoH	ECK120029476
uspA	ECK120033214
uspB	ECK120033214
dppABCDF	ECK120013361
yiaJ	ECK120012431
yiaKLMNO-lyxK-sgbHUE	ECK120014041
ibpB	ECK120012139
pstS	ECK120011519
pstSCA	ECK120011519
pstSCAB-phoU	ECK120011519
ilvL	ECK120013985
ilvLXG_1G_2MEDA	ECK120013985
ilvL	ECK120013985
ilvLXG_1G_2MEDA	ECK120013985
ilvL	ECK120013982
ilvLXG_1G_2MEDA	ECK120013982
ilvL	ECK120013982
ilvLXG_1G_2MEDA	ECK120013982
sodA	ECK120013153
sodA	ECK120013531
sodA	ECK120013533
sodA	ECK120013535
aceBAK	ECK120013878
aceBAK	ECK120013880
yjbE	ECK120029981
yjbEFGH	ECK120029981
ubiCA	ECK120012282
pspG	ECK120012390
nrfABCDEFG	ECK120011779
acs-yjcH-actP	ECK120011779
acs-yjcH-actP	ECK120011781
nrfABCDEFG	ECK120011768
acs-yjcH-actP	ECK120011768
acs-yjcH-actP	ECK120011768
fimB	ECK120033101
fimAICDFGH	ECK120013754
fimAICDFGH	ECK120014077
osmY	ECK120011806
osmY	ECK120013336
aceBAK	ECK120016628
aceBAK	ECK120016626
aceBAK	ECK120016624
aceBAK	ECK120016622
aceBAK	ECK120016620
aceBAK	ECK120016618
aceBAK	ECK120012593
iclR	ECK120016630
gntK	ECK120015191
gntKU	ECK120015191
gntK	ECK120012104
gntKU	ECK120012104
idnDOTR	ECK120012106
idnK	ECK120012106
ilvC	ECK120012967
ilvY	ECK120012967
ilvC	ECK125141231
ilvY	ECK125141231
nrdHIEF	ECK120011222
erpA	ECK120020698
hyaABCDEF	ECK120020702
hyaABCDEF	ECK125158260
sufABCDSE	ECK120020700
sufABCDSE	ECK120033121
sufABCDSE	ECK120033123
ydiU	ECK120020704
napFDAGHBC	ECK120020696
iscRSUA	ECK120017137
iscRSUA	ECK120020694
rnlAB	ECK125109307
nfuA	ECK120020692
eda	ECK120015252
edd-eda	ECK125134681
kdpFABC	ECK120012760
lacZYA	ECK120012764
lacZYA	ECK120012768
lacZYA	ECK120012766
leuL	ECK120011222
leuLABCD	ECK120011222
cadC	ECK120011222
yjjQ-bglJ	ECK120011222
dsrA	ECK120011222
leuO	ECK125141936
leuO	ECK125141934
