TU	BindingSite
asnC-mioC-mnmG	ECK120048792
asnA	ECK120048794
asnC	ECK120048794
asnC-mioC	ECK120048794
asnC-mioC-mnmG	ECK120048794
asnC	ECK120048773
asnC-mioC	ECK120048773
asnC-mioC-mnmG	ECK120048773
asnA	ECK120048773
atoDAEB	ECK120033039
atoDAEB	ECK120033083
spy	ECK120018486
spy	ECK120033345
mdtABCD-baeSR	ECK120018495
acrD	ECK125141190
tomB-hha	ECK125147050
putA	ECK125147052
csgDEFG	ECK125145859
cspI	ECK125147054
qseBC	ECK125162236
yrbL	ECK125145857
dgkA	ECK125145864
fimB	ECK125147056
betIBA	ECK120013019
betT	ECK120013019
bioBFCD	ECK120012649
bioA	ECK120012649
ycgZ-ymgA-ariR-ymgC	ECK120011222
ampC	ECK120011222
dacC	ECK120011222
oxyR	ECK120011222
cirA	ECK120011222
cirA	ECK120011222
fecABCDE	ECK120011222
glgCAP	ECK120011222
fucAO	ECK120011222
speC	ECK120011222
ubiG	ECK120011222
gyrA	ECK120011222
ebgAC	ECK120011222
dsdA	ECK120011222
uxuR	ECK120011222
caiF	ECK120013723
caiTABCDE	ECK120013333
fixABCX	ECK120013721
fixABCX	ECK120013719
araBAD	ECK120012600
araC	ECK120012600
ppdD-hofBC	ECK120051348
nadC	ECK125135218
ampDE	ECK125135218
pdhR-aceEF-lpd	ECK120016048
pdhR-aceEF-lpd	ECK120016050
pdhR-aceEF-lpd	ECK120013770
pdhR-aceEF-lpd	ECK120013715
pdhR-aceEF-lpd	ECK120016052
pdhR-aceEF-lpd	ECK120016054
lpd	ECK120016152
acnB	ECK120014126
hpt	ECK120011452
gcd	ECK120011452
sfsA-dksA	ECK120034575
yaeQ-arfB-nlpE	ECK125135220
yaeP-rof	ECK125135220
ykgR	ECK125108621
prpR	ECK120015231
prpBCDE	ECK120015231
lacZYA	ECK120034894
lacZYA	ECK120034894
lacZYA	ECK120034894
lacZYA	ECK120012046
lacZYA	ECK120012046
lacZYA	ECK120012046
mhpABCDFE	ECK120011487
mhpR-lacI	ECK125135087
araJ	ECK120013493
araJ	ECK120013043
tsx	ECK120013446
tsx	ECK120013437
cyoABCDE	ECK120016830
cyoABCDE	ECK120016828
hupB	ECK120013966
nmpC	ECK120013822
nmpC	ECK120013820
fepA-entD	ECK120016034
entCEBAH	ECK120016028
entCEBAH	ECK120016030
cstA	ECK120012567
dpiBA	ECK125141260
citCDEFXG	ECK125141260
cspE	ECK125141209
