TU	Gene
bolA	bolA
bolA	bolA
borD	borD
brnQ-proY	brnQ,proY
bsmA	bsmA
bssR	bssR
bssS	bssS
bssS	bssS
bssS	bssS
btuB-murI	btuB,murI
btuCED	btuC,btuE,btuD
cadA	cadA
cadBA	cadB,cadA
cadC	cadC
caiF	caiF
caiCDE	caiC,caiD,caiE
caiE	caiE
caiE	caiE
caiE	caiE
caiTABCDE	caiT,caiA,caiB,caiC,caiD,caiE
can	can
carAB	carA,carB
carAB	carA,carB
carB	carB
cas3	cas3
cas2	cas2
casABCDE12	casA,casB,casC,casD,casE,cas1,cas2
casDE12	casD,casE,cas1,cas2
cbl	cbl
cbpAM	cbpA,cbpM
cbpAM	cbpA,cbpM
cbpAM	cbpA,cbpM
cbpAM	cbpA,cbpM
cbrA	cbrA
cbrA	cbrA
cbrB	cbrB
cbrBC	cbrB,cbrC
cbrC	cbrC
cdaR	cdaR
cdd	cdd
cdh	cdh
cdsA	cdsA
cdsA	cdsA
cedA	cedA
cfa	cfa
cfa	cfa
chaA	chaA
chaBC	chaB,chaC
chaC	chaC
chbBCARFG	chbB,chbC,chbA,chbR,chbF,chbG
chbG	chbG
chbG	chbG
chiA	chiA
chiP-ybfN	chiP,ybfN
ybfN	ybfN
cho	cho
chpSB	chpS,chpB
chpSB	chpS,chpB
cirA	cirA
cirA	cirA
citCDEFXG	citC,citD,citE,citF,citX,citG
citCDEFXG	citC,citD,citE,citF,citX,citG
citT	citT
citT	citT
clcA	clcA
clcB	clcB
clpA	clpA
clpA	clpA
clpA	clpA
clpB	clpB
clpPX	clpP,clpX
clpPX	clpP,clpX
clpPX	clpP,clpX
clpX-lon	clpX,lon
lon	lon
clpS	clpS
clpS	clpS
clsA-yciU	clsA,yciU
yciU	yciU
yciU	yciU
yciU	yciU
cmk-rpsA	cmk,rpsA
ihfB	ihfB
rpsA-ihfB	rpsA,ihfB
rpsA-ihfB	rpsA,ihfB
cmtBA-yggPFDC	cmtB,cmtA,yggP,yggF,yggD,yggC
yggC	yggC
yggDC	yggD,yggC
cnu	cnu
cnu	cnu
cnu	cnu
cnu	cnu
coaA	coaA
coaE-zapD-yacG	coaE,zapD,yacG
yacG	yacG
cobT	cobT
cobUST	cobU,cobS,cobT
cobUST	cobU,cobS,cobT
codBA	codB,codA
cof	cof
comR	comR
comR	comR
copA	copA
corA	corA
cpdB	cpdB
cpxP	cpxP
cpxA	cpxA
cpxRA	cpxR,cpxA
cra	cra
crcB	crcB
crcB	crcB
creABC	creA,creB,creC
creABCD	creA,creB,creC,creD
creD	creD
crfC-yjcZ	crfC,yjcZ
crfC-yjcZ	crfC,yjcZ
crl	crl
crl	crl
crp	crp
crp	crp
crp	crp
csdAE	csdA,csdE
csgBAC	csgB,csgA,csgC
csgC	csgC
csgDEFG	csgD,csgE,csgF,csgG
csgDEFG	csgD,csgE,csgF,csgG
csgG	csgG
csiD-lhgO-gabDTP	csiD,lhgO,gabD,gabT,gabP
gabDTP	gabD,gabT,gabP
gabDTP	gabD,gabT,gabP
csiE	csiE
csiR	csiR
csiR	csiR
cspA	cspA
cspA	cspA
cspB	cspB
cspD	cspD
cspE	cspE
cspE	cspE
cspF	cspF
cspF	cspF
cspF	cspF
cspG	cspG
cspH	cspH
